gene,gnomAD_syn_<1e-5,gnomAD_syn_1e-5~1e-4,gnomAD_syn_1e-4~1e-3,gnomAD_syn_1e-3~1e-2,gnomAD_syn_1e-2<,gnomAD_mis_<1e-5,gnomAD_mis_1e-5~1e-4,gnomAD_mis_1e-4~1e-3,gnomAD_mis_1e-3~1e-2,gnomAD_mis_1e-2<,gnomAD_stopgain_<1e-5,gnomAD_stopgain_1e-5~1e-4,gnomAD_stopgain_1e-4~1e-3,gnomAD_stopgain_1e-3~1e-2,gnomAD_stopgain_1e-2<,RGC-ME_syn_<1e-5,RGC-ME_syn_1e-5~1e-4,RGC-ME_syn_1e-4~1e-3,RGC-ME_syn_1e-3~1e-2,RGC-ME_syn_1e-2<,RGC-ME_mis_<1e-5,RGC-ME_mis_1e-5~1e-4,RGC-ME_mis_1e-4~1e-3,RGC-ME_mis_1e-3~1e-2,RGC-ME_mis_1e-2<,RGC-ME_stopgain_<1e-5,RGC-ME_stopgain_1e-5~1e-4,RGC-ME_stopgain_1e-4~1e-3,RGC-ME_stopgain_1e-3~1e-2,RGC-ME_stopgain_1e-2<,non_nsite,mis_nsite,ssite,is_cRDHGs
ISCU,15,19,2,1,1,48,17,4,2,3,1,2,0,0,0,60,18,2,1,0,142,15,4,1,3,5,0,0,0,0,1.249796e-07,4.612963300000001e-06,2.303158799999998e-06,False
CLDN22,16,13,4,1,0,28,23,5,1,0,4,2,1,0,0,52,10,3,1,0,143,27,2,1,0,8,2,1,0,0,2.378163999999999e-07,4.159399000000009e-06,2.0777526e-06,False
CALB2,35,20,3,1,0,56,34,7,0,1,1,3,0,0,0,113,24,3,0,0,262,31,4,0,1,13,1,0,0,0,4.2712130000000003e-07,8.25094239999999e-06,4.225295000000004e-06,False
ENTPD3,33,29,5,3,0,101,85,17,4,1,6,6,0,0,0,200,22,5,2,0,475,66,14,3,1,29,2,0,0,0,6.051549999999997e-07,1.4226363699999974e-05,6.143455500000001e-06,False
ING3,34,26,3,2,1,41,26,1,0,0,0,0,0,0,0,125,15,3,0,1,253,13,1,0,0,1,0,0,0,0,1.1239534999999998e-06,1.0215874499999988e-05,3.934463899999999e-06,False
MADD,135,126,21,1,4,366,258,25,5,3,8,2,0,0,1,629,104,15,3,4,1551,206,22,7,2,62,3,0,0,1,2.9348095999999987e-06,5.360221010000005e-05,2.077346800000003e-05,False
ATXN7L3B,14,9,1,0,1,21,12,1,0,0,0,0,0,0,0,45,8,2,0,1,97,10,1,0,0,5,0,0,0,0,1.030041e-07,2.541027199999999e-06,1.048058e-06,False
PGAP6,119,118,22,3,7,210,230,26,10,4,10,4,0,0,0,431,108,17,4,5,875,169,32,8,4,45,3,0,0,0,9.515036e-07,3.1430972200000106e-05,1.6724025699999997e-05,False
SLC32A1,59,40,6,1,0,89,44,4,1,1,0,0,0,0,0,240,29,4,0,0,404,19,1,2,0,5,0,0,0,0,5.767427000000002e-07,1.438205390000002e-05,6.834975099999998e-06,False
CERS6,45,27,2,3,0,64,47,5,2,1,3,0,0,0,0,129,23,3,2,0,314,39,6,2,1,10,0,0,0,0,1.038236e-06,1.105663459999998e-05,4.8277859e-06,False
BST1,29,19,2,2,2,73,62,4,2,5,3,5,0,0,0,143,18,3,0,2,344,38,7,2,3,16,4,0,0,0,6.696174999999999e-07,8.944605000000001e-06,4.004176199999996e-06,False
PHACTR2,58,54,9,2,1,131,87,15,2,1,3,1,0,0,0,234,34,3,1,1,527,78,16,1,1,20,0,0,0,0,1.5533134000000003e-06,1.8032009499999917e-05,7.559938999999989e-06,False
CTSD,58,50,10,3,4,80,51,11,1,1,1,0,0,0,0,198,50,10,3,3,392,47,6,1,1,9,0,0,0,0,4.003533e-07,1.50600598e-05,9.091258299999992e-06,False
KRT84,70,57,9,3,7,156,151,17,12,4,4,3,1,0,0,248,50,12,1,7,579,123,18,11,3,25,3,1,0,0,5.940299000000003e-07,2.268306729999997e-05,8.520695700000006e-06,False
CSF1,60,55,7,3,3,111,99,13,3,3,1,0,0,0,0,241,42,9,1,2,519,72,11,3,3,4,0,0,0,0,5.918044999999999e-07,1.6465698299999997e-05,7.764510200000007e-06,False
OR2T29,0,2,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.514e-10,1.441804e-07,6.186299999999999e-08,False
RASD1,25,17,3,1,0,63,33,4,1,0,1,1,0,0,0,114,11,2,0,0,293,32,2,1,0,11,0,0,0,0,2.305975e-07,8.211323900000013e-06,3.596561299999993e-06,False
ABHD11,23,29,5,4,1,71,59,4,0,1,1,2,0,0,0,110,23,5,3,1,289,55,1,1,0,12,1,0,0,0,4.354203000000001e-07,1.0809893600000009e-05,4.548205099999998e-06,False
CSDE1,52,39,8,4,1,106,52,6,0,0,2,0,0,0,0,287,28,12,1,1,569,49,5,0,0,2,0,0,0,0,1.355747199999998e-06,2.263422280000004e-05,7.396706999999998e-06,False
CYP2W1,58,90,8,4,3,131,140,20,6,4,3,2,0,0,0,271,77,8,4,1,503,138,20,7,2,15,1,0,0,0,6.290226999999999e-07,2.3954524400000066e-05,1.2429533200000009e-05,False
C11orf80,45,33,5,2,1,117,77,4,3,1,4,2,1,0,0,189,29,3,1,1,480,54,3,4,0,17,2,0,0,0,5.913706e-07,1.2254599199999985e-05,4.9273583e-06,False
TNNI1,17,15,3,0,1,33,29,1,2,0,0,0,0,0,0,82,14,1,1,1,121,26,3,1,0,4,0,0,0,0,3.313010999999999e-07,8.087281000000006e-06,3.0757336000000004e-06,False
MUSK,79,53,12,5,3,187,120,16,6,4,4,2,0,0,0,319,36,11,3,2,827,104,13,6,4,36,1,0,0,0,1.5149467000000003e-06,2.4601568399999957e-05,9.913451699999988e-06,False
RNF8,32,19,5,0,2,75,45,1,0,0,3,0,0,0,0,123,15,6,0,2,332,31,2,0,0,11,0,0,0,0,1.2563898e-06,1.1799195700000006e-05,4.2482583e-06,False
ABCC9,125,85,16,8,3,180,101,5,2,0,7,3,0,0,0,496,77,14,5,1,911,79,2,1,1,41,4,0,0,0,2.3561238999999992e-06,4.3219002200000016e-05,1.6280614899999974e-05,False
PDSS2,22,19,4,0,0,79,45,5,3,0,3,1,0,0,0,130,15,1,0,0,343,36,4,3,0,13,1,0,0,0,5.311764000000003e-07,9.918175600000012e-06,3.995632499999997e-06,False
WASHC4,95,64,6,10,1,210,143,18,6,3,2,4,0,0,0,283,46,7,6,1,774,106,17,3,3,28,2,0,0,0,3.002214299999999e-06,2.975622769999998e-05,9.903621300000024e-06,False
AQP4,26,20,1,2,3,77,43,8,4,0,2,0,0,0,0,104,18,1,2,3,330,39,5,3,0,10,0,0,0,0,3.826150000000001e-07,9.42101510000001e-06,3.5159016000000038e-06,False
NDUFV2,20,19,1,0,1,54,51,3,1,1,3,1,0,0,0,76,4,2,0,1,260,27,4,0,1,5,0,0,0,0,3.8076190000000004e-07,6.38651499999999e-06,2.1047605e-06,False
GMPPB,34,37,7,1,1,68,45,4,0,2,2,1,0,0,0,153,24,3,0,1,345,34,4,1,2,13,0,0,0,0,3.333131999999999e-07,1.2257967100000003e-05,4.925122399999999e-06,False
DERPC,44,35,7,0,2,108,105,12,4,2,1,0,0,0,0,9,2,0,0,0,28,1,0,0,0,0,0,0,0,0,2.553317e-07,1.400106269999998e-05,5.565304400000006e-06,False
STK39,46,48,6,4,1,74,46,4,0,1,0,0,0,0,0,195,32,8,2,0,366,40,3,0,1,12,0,0,0,0,1.0074097e-06,1.4264386900000018e-05,6.286557100000002e-06,False
ZNF444,65,45,8,3,2,87,49,4,4,1,1,0,0,0,0,199,40,5,4,1,404,30,7,3,0,9,0,0,0,0,3.3583690000000005e-07,1.0937714000000012e-05,5.414009700000005e-06,False
SMIM17,10,10,1,0,1,23,26,3,2,0,1,1,0,0,0,29,4,1,1,0,85,17,3,1,0,6,0,0,0,0,1.550948e-07,3.678853499999999e-06,1.5178622999999995e-06,False
CPE,46,29,4,3,1,90,48,9,4,0,2,0,0,0,0,173,25,6,1,1,427,45,10,2,0,11,0,0,0,0,8.109922000000004e-07,1.3678658300000003e-05,5.514062999999998e-06,False
ENSG00000289764,2,2,1,0,0,7,5,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.350300000000001e-08,5.665754e-07,2.326145e-07,False
ABI3BP,136,95,22,3,5,391,272,44,12,7,14,6,0,0,0,590,83,25,1,5,1557,234,39,16,4,61,8,0,0,0,2.7431141000000038e-06,5.074283909999983e-05,1.816686120000003e-05,False
IGSF10,207,146,32,13,13,590,383,69,30,7,33,13,5,1,0,951,124,26,11,11,2639,311,66,22,6,135,25,2,1,0,3.476565099999997e-06,6.866155410000007e-05,2.6639951999999944e-05,False
MICOS10,6,2,0,0,1,24,13,2,0,0,0,1,0,0,0,32,3,0,0,1,82,13,1,0,0,2,1,0,0,0,1.0244419999999997e-07,1.8386392e-06,7.773751999999996e-07,False
PDC,20,10,1,1,0,50,28,3,0,0,4,3,0,0,0,63,5,2,0,0,197,23,5,0,0,13,0,0,0,0,3.8299440000000004e-07,5.939447300000003e-06,1.9037847e-06,False
NUDCD3,37,31,3,3,0,81,40,6,4,2,0,1,0,0,0,148,25,3,3,0,384,40,6,2,2,13,0,0,0,0,7.521315000000001e-07,1.0885243000000023e-05,4.604080499999999e-06,False
TNFSF9,38,27,4,3,0,75,52,10,6,1,4,1,0,0,0,115,28,6,0,0,265,37,10,4,1,7,1,0,0,0,2.571586e-07,9.22908770000001e-06,5.1263936e-06,False
PAXBP1,48,36,5,5,1,109,61,7,1,0,3,0,0,0,0,214,23,6,5,0,533,50,4,0,0,16,0,0,0,0,2.3105569999999994e-06,2.139946740000001e-05,6.808658500000005e-06,False
SP4,72,42,8,3,0,155,93,8,3,0,1,0,0,0,0,300,36,8,1,0,841,59,5,3,1,10,0,0,0,0,1.1655826999999994e-06,1.8906440599999964e-05,7.426209500000002e-06,False
GGT7,64,58,10,3,1,125,78,7,2,1,1,1,0,0,0,267,55,6,2,1,558,60,6,2,0,9,0,0,0,0,9.770946000000002e-07,2.2125089400000013e-05,1.06037095e-05,False
IGF2BP2,67,51,6,0,0,86,67,5,0,0,1,0,0,0,0,233,48,5,0,0,447,44,5,0,0,7,0,0,0,0,7.304209000000001e-07,1.8890312799999976e-05,8.942777000000006e-06,False
PRSS56,78,60,12,2,1,160,86,15,7,2,8,1,0,0,0,316,46,13,1,1,674,69,17,3,2,33,2,0,0,0,9.344733000000002e-07,2.000330149999999e-05,1.00580496e-05,False
GUCA1ANB,9,12,4,1,0,27,18,9,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1077979999999999e-07,4.304052199999998e-06,1.6537631999999994e-06,False
SMOC1,31,36,3,6,2,80,62,5,6,0,1,2,0,0,0,150,30,2,5,2,351,58,3,4,0,11,2,0,0,0,7.037164000000002e-07,1.4589566400000026e-05,6.208786200000002e-06,False
RGMA,52,58,15,8,2,95,92,9,2,1,4,0,0,0,0,226,58,11,5,2,391,78,14,0,2,6,0,0,0,0,4.797939999999999e-07,1.8320227999999994e-05,9.59177979999999e-06,False
PAX9,37,24,3,2,1,68,51,3,1,1,2,0,0,0,0,173,14,1,2,1,391,24,3,1,1,4,0,0,0,0,3.894592999999999e-07,1.0106171300000004e-05,4.972899699999996e-06,False
SNAPC5,8,8,1,0,0,31,18,4,0,0,3,1,0,0,0,40,6,2,0,0,90,17,5,0,0,4,1,0,0,0,9.808890000000005e-08,2.4067058e-06,1.0240198e-06,False
NGLY1,56,37,7,2,0,134,98,10,3,0,7,3,1,0,0,242,33,2,2,0,579,75,16,0,0,43,1,1,0,0,1.5940967999999989e-06,1.6816030500000013e-05,6.080848399999995e-06,False
YBX2,41,18,4,3,0,80,48,10,0,3,0,0,0,0,0,147,15,4,3,0,293,52,9,1,2,2,0,0,0,0,9.509713000000004e-07,1.3051305000000015e-05,4.825748100000001e-06,False
DUSP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,33,7,2,1,376,44,6,2,4,9,1,0,0,0,4.909858000000003e-07,1.164979990000003e-05,5.641926900000006e-06,False
ENSG00000255639,60,45,3,2,1,145,96,13,5,4,5,3,2,0,0,189,34,3,1,0,521,72,15,4,2,22,3,2,0,0,1.2130904999999995e-06,1.794591760000004e-05,6.782810000000001e-06,False
ZFYVE28,120,127,33,7,4,213,205,37,10,3,3,2,0,0,0,359,113,28,5,3,818,173,36,8,3,21,0,0,0,0,9.125813e-07,3.750281120000004e-05,1.9904016399999957e-05,False
IFNL2,9,9,8,1,1,25,32,8,2,3,3,1,1,0,0,30,11,0,1,0,82,16,3,1,1,2,0,0,0,0,2.3222470000000005e-07,4.802046300000005e-06,2.0207640999999987e-06,False
ZPBP,42,22,3,1,1,77,58,8,4,0,3,2,0,0,0,133,23,3,1,1,297,56,6,1,0,10,1,0,0,0,7.681282000000001e-07,1.0537799099999991e-05,3.6233163999999978e-06,False
PLCL2,88,74,7,4,6,189,81,11,1,1,2,0,0,0,0,330,54,4,4,5,662,51,1,1,0,5,0,0,0,0,1.4724675000000004e-06,3.24981174e-05,1.2909129000000013e-05,False
YWHAB,19,16,2,1,1,25,14,1,1,0,0,0,0,0,0,76,13,2,0,1,115,14,2,0,0,1,0,0,0,0,3.726594999999999e-07,6.801571500000004e-06,2.598779899999999e-06,False
SCRT2,54,42,4,1,0,73,24,6,2,1,1,0,0,0,0,154,27,3,1,0,282,23,5,0,1,6,0,0,0,0,3.835972999999998e-07,9.938929500000006e-06,4.834314599999999e-06,False
BTG1,26,12,1,1,0,36,10,0,0,1,1,0,0,0,0,78,9,1,0,0,123,5,0,1,0,2,0,0,0,0,2.161993e-07,4.430315399999998e-06,1.6509927999999988e-06,False
CAND2,136,130,24,3,6,281,225,34,17,10,9,7,0,0,0,572,119,22,4,3,1123,195,32,14,8,37,5,0,0,0,1.7192514e-06,4.664977700000011e-05,2.1331894799999984e-05,False
OGFOD2,41,38,17,2,2,90,113,11,3,0,4,3,0,0,0,154,29,8,0,2,300,76,11,2,0,16,1,1,0,0,5.849302000000003e-07,1.475257149999998e-05,7.181924200000002e-06,False
KRTAP25-1,5,8,1,0,1,22,17,2,1,1,3,2,0,0,0,34,7,2,0,1,107,11,1,0,1,6,1,0,0,0,9.90495e-08,2.6039968e-06,9.768432e-07,False
TAS2R40,35,17,4,0,0,68,41,4,4,1,3,2,1,0,0,115,19,1,0,0,294,39,3,2,2,17,2,1,0,0,3.5722250000000025e-07,8.463079700000008e-06,3.571810800000002e-06,False
G0S2,16,11,0,1,0,20,16,3,1,0,0,0,0,0,0,60,9,0,1,0,111,14,3,0,0,2,0,0,0,0,1.308595e-07,2.7551212999999994e-06,1.3357634999999995e-06,False
DNMT1,161,147,22,10,3,236,146,16,4,2,0,0,0,0,0,582,142,20,5,4,987,126,14,2,2,5,0,0,0,0,2.371131099999999e-06,5.893031629999999e-05,2.6518041000000005e-05,False
UBXN11,53,43,13,6,4,111,92,18,6,3,3,7,0,0,0,177,38,7,4,4,376,76,16,6,1,14,6,1,0,0,1.0981252999999998e-06,1.7594842799999987e-05,7.81750380000001e-06,False
PDCD7,60,39,4,1,0,138,93,4,3,1,6,6,0,0,0,259,34,5,0,0,500,67,8,3,0,25,4,0,0,0,7.669732999999997e-07,1.4846692400000004e-05,7.197265800000004e-06,False
CLEC10A,24,24,6,0,2,58,37,11,5,3,6,4,1,0,0,100,14,4,0,2,218,31,11,3,3,24,5,0,0,0,4.922218999999997e-07,7.38903350000001e-06,3.976454399999999e-06,False
SYT8,37,56,10,8,2,117,85,17,6,5,4,4,1,0,0,174,43,17,3,2,425,92,18,4,6,23,1,2,0,0,7.178960000000004e-07,1.7472546199999995e-05,8.062010400000007e-06,False
PAICS,27,14,3,2,0,73,37,6,2,2,1,1,0,0,0,112,12,3,1,0,298,29,7,2,2,13,2,0,0,0,9.101676e-07,9.559046300000002e-06,3.415413900000001e-06,False
CDH22,98,95,7,10,2,168,128,13,4,1,4,2,0,0,0,374,73,7,5,2,736,87,10,3,0,13,0,0,0,0,8.054226999999993e-07,3.213189559999999e-05,1.7005672299999994e-05,False
TMEM30B,39,17,4,1,1,103,65,3,1,2,6,3,0,0,0,174,12,5,1,1,423,44,5,2,1,15,4,0,0,0,5.552479999999999e-07,1.0230861300000004e-05,4.95382829999999e-06,False
THEMIS2,70,48,9,1,6,107,82,14,1,1,4,1,0,0,0,246,37,5,3,4,529,75,15,1,1,20,1,0,0,0,6.075692999999999e-07,2.1599995099999947e-05,8.665631899999998e-06,False
R3HDM2,65,55,8,1,4,172,93,6,0,2,2,0,0,0,0,260,41,6,2,3,629,58,7,0,2,21,0,0,0,0,1.916432799999999e-06,2.855379509999998e-05,1.046886870000001e-05,False
GAS2L3,60,42,8,4,3,145,94,14,9,1,6,3,0,0,0,224,30,11,2,3,576,71,12,6,1,29,5,0,0,0,1.0121209000000009e-06,1.802147460000001e-05,6.783585999999996e-06,False
ARHGAP44,81,71,17,5,5,142,90,9,0,0,4,0,0,0,0,363,52,15,5,3,641,73,8,0,0,17,0,0,0,0,1.4518645000000002e-06,2.502526870000002e-05,1.1764066200000003e-05,False
CEBPA,57,29,5,5,2,96,50,5,0,0,1,0,0,0,0,207,22,3,4,2,322,35,4,1,0,5,0,0,0,0,3.24308e-07,1.149338699999999e-05,5.861511499999998e-06,False
ORAI1,50,33,1,2,4,75,54,12,2,1,1,2,0,0,0,150,34,3,0,4,321,39,8,1,1,12,0,0,0,0,3.06365e-07,1.1070030400000018e-05,5.6784776999999965e-06,False
PHLDA1,46,41,5,0,0,108,61,11,1,1,7,0,0,0,0,178,27,1,0,0,397,37,11,0,1,14,3,0,0,0,6.608957000000001e-07,1.1099546699999974e-05,5.587024700000004e-06,False
DNAAF11,36,28,5,1,2,90,63,13,3,2,3,6,0,0,0,132,23,5,2,0,402,57,14,2,2,17,4,0,0,0,9.866335e-07,1.20142511e-05,4.533436200000002e-06,False
ZNF394,54,44,7,4,2,129,65,12,4,2,3,1,0,0,0,221,29,7,4,1,576,58,6,3,1,20,1,0,0,0,8.500597000000002e-07,1.679351070000002e-05,7.216805600000009e-06,False
CHADL,76,63,14,3,1,191,117,22,4,2,7,4,0,0,0,430,38,9,4,1,797,100,15,2,2,29,1,0,0,0,8.011652000000001e-07,2.2527435499999967e-05,1.1456724999999997e-05,False
ANKRD7,23,19,2,0,1,40,35,2,5,0,3,1,0,0,0,77,8,4,0,1,200,26,4,4,0,15,1,0,0,0,3.0182179999999984e-07,6.398305700000001e-06,2.4649563999999995e-06,False
IL23A,11,9,1,0,1,26,24,0,0,0,0,0,0,0,0,59,6,0,0,1,151,11,0,0,0,9,0,0,0,0,2.2715959999999998e-07,4.845330199999999e-06,1.7598077000000011e-06,False
RICTOR,131,81,11,7,2,286,155,12,5,2,3,0,0,0,0,503,62,7,7,1,1086,98,11,4,2,11,0,0,0,0,3.9876452e-06,4.549649419999993e-05,1.5462165700000015e-05,False
ZNF354C,26,29,1,2,0,129,63,8,3,5,5,1,1,0,0,150,28,1,2,0,487,59,6,4,4,26,1,1,0,0,1.0355981000000006e-06,1.5952852699999987e-05,6.130051500000005e-06,False
ITGA4,100,65,7,4,3,196,98,14,2,2,7,0,0,0,0,344,53,7,1,3,767,70,10,5,1,25,1,0,0,0,1.3093682999999984e-06,2.778476610000016e-05,1.0789746800000005e-05,False
DTWD1,24,15,3,0,0,60,34,3,1,1,5,3,1,0,0,81,17,0,0,0,293,21,2,1,1,14,1,1,0,0,5.556717999999997e-07,6.9539218e-06,2.259852299999999e-06,False
SH3BP1,53,70,12,3,10,147,126,9,6,3,4,1,0,0,0,270,54,14,4,7,589,82,9,3,1,20,0,0,0,0,6.227671000000002e-07,2.4127609600000014e-05,1.0870799199999991e-05,False
CAPN7,61,43,4,3,2,154,88,8,2,1,6,5,1,0,0,253,36,7,2,2,686,65,9,2,1,29,3,1,0,0,1.6650492e-06,2.0168777600000036e-05,7.553527400000006e-06,False
ST8SIA3,37,19,4,3,2,55,40,2,0,1,2,0,0,0,0,132,13,5,3,1,295,26,4,0,1,14,0,0,0,0,5.031936000000001e-07,1.0511916999999991e-05,4.010106299999996e-06,False
MPC1,15,5,0,1,1,16,10,0,0,1,0,0,0,0,0,41,2,0,1,1,89,7,0,0,1,3,0,0,0,0,1.1746790000000001e-07,3.743007900000005e-06,1.3807083e-06,False
SFPQ,99,83,15,7,2,172,77,7,0,0,0,0,0,0,0,362,57,14,5,1,714,48,6,0,0,3,0,0,0,0,1.4953976e-06,2.26530297000001e-05,8.007543900000008e-06,False
GDF7,65,49,3,5,3,142,49,12,2,2,3,0,0,0,0,235,41,7,4,1,507,56,8,3,1,12,0,0,0,0,3.791719999999999e-07,1.3325232399999998e-05,6.658884599999993e-06,False
KIF20B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,74,14,6,4,1441,224,44,9,12,74,9,2,0,0,4.3700202e-06,4.2983494e-05,1.4609254199999976e-05,False
FADS2,45,38,4,1,0,44,19,2,0,0,0,0,0,0,0,156,38,4,0,0,259,17,2,0,0,5,0,0,0,0,5.527837000000005e-07,1.347430259999996e-05,6.9309900999999935e-06,False
CCR6,29,33,4,1,2,59,35,3,2,0,2,1,0,0,0,153,29,2,1,2,286,27,5,1,0,14,0,0,0,0,5.236145000000002e-07,1.0953968199999972e-05,5.3279621e-06,False
OR5AS1,41,24,2,3,5,76,55,12,7,2,1,3,0,0,0,145,14,1,2,6,384,42,14,3,2,12,1,0,0,0,2.362267e-07,7.838924e-06,3.118252999999995e-06,False
SLC25A42,31,30,5,1,2,56,43,5,1,0,2,0,0,0,0,160,23,3,1,1,278,27,4,2,0,12,0,0,0,0,4.906725999999998e-07,1.0445414699999984e-05,4.9268512000000045e-06,False
SHROOM3,229,142,26,11,6,438,359,43,15,10,4,0,0,0,0,784,132,22,7,3,1860,281,39,13,8,30,0,0,0,0,2.6005919e-06,5.815989979999997e-05,2.474548600000002e-05,False
SPINK6,6,4,0,0,0,16,13,2,0,1,0,0,0,0,0,23,2,0,0,0,68,6,2,0,1,4,0,0,0,0,7.158139999999999e-08,1.8653718000000004e-06,6.347101e-07,False
PGPEP1L,26,19,8,0,0,43,37,7,3,3,2,1,1,0,0,61,26,5,0,0,170,38,4,2,3,11,2,0,0,0,2.239602e-07,5.614892500000003e-06,3.0794109000000003e-06,False
TMPRSS13,49,46,8,4,5,117,91,14,3,2,5,1,0,0,0,193,41,4,5,4,424,67,14,2,0,24,3,0,0,0,7.699452e-07,1.905673340000007e-05,8.736571299999999e-06,False
AQP8,36,25,7,3,2,45,46,6,1,3,0,2,0,0,0,96,28,6,4,0,217,33,7,1,3,7,1,0,0,0,3.148382000000001e-07,9.05919200000002e-06,4.936179199999995e-06,False
ICE1,186,129,21,10,5,460,309,44,8,9,5,2,0,0,0,835,116,20,9,3,2170,225,40,6,7,41,0,0,0,0,3.1192187999999963e-06,5.9347454100000176e-05,2.458916969999999e-05,False
XKR5,90,62,21,7,3,211,174,27,11,2,16,7,1,0,0,362,61,12,5,2,917,138,24,8,1,52,8,1,0,0,1.1149729000000005e-06,1.9512084800000076e-05,9.828568899999991e-06,False
CDC26,3,3,0,0,0,11,17,2,1,0,0,0,0,0,0,18,1,0,0,0,49,12,2,1,0,1,0,0,0,0,1.295802e-07,2.933800699999998e-06,5.609638000000001e-07,False
TEX37,13,17,3,1,1,45,36,8,3,3,2,1,1,0,0,85,14,3,1,0,189,28,5,5,0,10,2,0,0,0,1.8674560000000005e-07,5.572473800000001e-06,2.5813510000000014e-06,False
SLC52A1,52,54,4,1,2,84,68,10,3,3,2,2,0,0,0,210,35,2,1,2,383,66,10,2,3,11,2,0,0,0,2.769185000000002e-07,1.2353134499999996e-05,6.280220299999997e-06,False
FLG,435,410,100,36,28,1343,1141,281,105,86,89,95,13,5,1,747,163,58,20,10,2121,468,139,44,35,145,29,7,2,1,6.061474400000006e-06,0.0001084433028,4.377812160000006e-05,False
NRAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,106,15,4,11,1500,262,45,14,15,83,8,1,0,0,2.6576392e-06,5.259276310000002e-05,2.235118179999995e-05,False
CNOT1,187,129,17,2,8,285,103,13,1,1,0,0,0,0,0,699,94,14,2,4,1148,90,7,1,1,2,0,0,0,0,3.955510599999997e-06,6.484182309999993e-05,2.280481729999996e-05,False
ENSG00000290146,16,18,4,1,2,59,31,2,1,1,3,4,0,0,0,90,16,1,3,0,211,27,2,1,1,13,0,0,0,0,4.819090999999999e-07,6.4676171000000105e-06,2.303286699999997e-06,False
