GenePair	ka	ks	kaks	ssite	nsite	scount	ncount	Human	Other	species	GeneType	similarity
ENSG00000278705-ENSMMUG00000054127	0.0	0.246817	-0.0	95.7272	213.273	19.0	0.0	ENSG00000278705	ENSMMUG00000054127	monkey	RDHGs	1.0
ENSG00000274290-ENSMMUG00000061648	0.0	0.327086	-0.0	54.5644	323.436	14.0	0.0	ENSG00000274290	ENSMMUG00000061648	monkey	RDHGs	1.0
ENSG00000197153-ENSMMUG00000063237	0.0	0.13752	-0.0	114.652	293.348	14.0	0.0	ENSG00000197153	ENSMMUG00000063237	monkey	RDHGs	1.0
ENSG00000124575-ENSMMUG00000022050	0.0302331	0.124649	0.242545	223.14	439.86	25.0	13.0	ENSG00000124575	ENSMMUG00000022050	monkey	RDHGs	0.9457013574660633
ENSG00000273802-ENSMMUG00000063339	0.0	0.403765	-0.0	76.4379	301.562	23.0	0.0	ENSG00000273802	ENSMMUG00000063339	monkey	RDHGs	1.0
ENSG00000124610-ENSMMUG00000059711	0.048935	0.110696	0.442066	239.145	405.855	24.0	19.0	ENSG00000124610	ENSMMUG00000059711	monkey	RDHGs	0.9116279069767442
ENSG00000277157-ENSMMUG00000056028	0.0	0.227566	-0.0	91.2892	217.711	17.0	0.0	ENSG00000277157	ENSMMUG00000056028	monkey	RDHGs	1.0
ENSG00000158406-ENSMMUG00000059737	0.0	0.342674	-0.0	91.5504	217.45	24.0	0.0	ENSG00000158406	ENSMMUG00000059737	monkey	RDHGs	1.0
ENSG00000277075-ENSMMUG00000060663	0.0	0.215341	-0.0	92.7036	297.296	17.0	0.0	ENSG00000277075	ENSMMUG00000060663	monkey	RDHGs	1.0
ENSG00000196747-ENSMMUG00000055788	0.0	0.231853	-0.0	77.4715	312.529	15.0	0.0	ENSG00000196747	ENSMMUG00000055788	monkey	RDHGs	1.0
ENSG00000187475-ENSMMUG00000051980	0.0572381	0.0802673	0.713094	200.465	420.535	15.0	23.0	ENSG00000187475	ENSMMUG00000051980	monkey	RDHGs	0.8894230769230769
ENSG00000287080-ENSMMUG00000053403	0.0	0.318036	-0.0	107.379	300.621	27.0	0.0	ENSG00000287080	ENSMMUG00000053403	monkey	RDHGs	1.0
ENSG00000275714-ENSMMUG00000065242	0.0	0.241655	-0.0	109.787	298.213	22.0	0.0	ENSG00000275714	ENSMMUG00000065242	monkey	RDHGs	1.0
ENSG00000276966-ENSMMUG00000060950	0.0	0.550917	-0.0	86.4993	222.501	32.0	0.0	ENSG00000276966	ENSMMUG00000060950	monkey	RDHGs	1.0
ENSG00000278637-ENSMMUG00000051508	0.0	0.140311	-0.0	71.4426	237.557	9.0	0.0	ENSG00000278637	ENSMMUG00000051508	monkey	RDHGs	1.0
ENSG00000196787-ENSMMUG00000052414	0.0	0.266482	-0.0	82.9261	307.074	18.0	0.0	ENSG00000196787	ENSMMUG00000052414	monkey	RDHGs	1.0
ENSG00000124635-ENSMMUG00000040348	0.0	0.231743	-0.0	62.3556	315.644	12.0	0.0	ENSG00000124635	ENSMMUG00000040348	monkey	RDHGs	1.0
ENSG00000197061-ENSMMUG00000065238	0.0	0.115317	-0.0	95.4022	213.598	10.0	0.0	ENSG00000197061	ENSMMUG00000065238	monkey	RDHGs	1.0
ENSG00000184260-ENSMMUG00000037540	0.0	0.0621335	-0.0	84.7278	302.272	5.0	0.0	ENSG00000184260	ENSMMUG00000037540	monkey	RDHGs	1.0
ENSG00000286522-ENSMMUG00000059280	0.0	0.350202	-0.0	114.552	293.448	30.0	0.0	ENSG00000286522	ENSMMUG00000059280	monkey	RDHGs	1.0
ENSG00000277775-ENSMMUG00000051224	0.00322023	0.175786	0.018319	96.7957	311.204	15.0	1.0	ENSG00000277775	ENSMMUG00000051224	monkey	RDHGs	0.9926470588235294
ENSG00000278828-ENSMMUG00000057878	0.0	0.237403	-0.0	81.5324	326.468	16.0	0.0	ENSG00000278828	ENSMMUG00000057878	monkey	RDHGs	1.0
ENSG00000164508-ENSMMUG00000039988	0.00386837	0.287007	0.0134783	133.69	259.31	30.0	1.0	ENSG00000164508	ENSMMUG00000039988	monkey	RDHGs	0.9923664122137404
ENSG00000183598-ENSMMUG00000054078	0.0	0.207233	-0.0	45.4474	362.553	8.0	0.0	ENSG00000183598	ENSMMUG00000054078	monkey	RDHGs	1.0
ENSG00000168298-ENSMMUG00000023748	0.00222594	0.110816	0.0200868	207.085	449.915	21.0	1.0	ENSG00000168298	ENSMMUG00000023748	monkey	RDHGs	0.9954337899543378
ENSG00000180596-ENSMMUG00000057462	0.0	0.452311	-0.0	55.383	322.617	18.0	0.0	ENSG00000180596	ENSMMUG00000057462	monkey	RDHGs	1.0
ENSG00000275221-ENSMMUG00000042665	0.0	0.272584	-0.0	76.3401	313.66	17.0	0.0	ENSG00000275221	ENSMMUG00000042665	monkey	RDHGs	1.0
ENSG00000233822-ENSMMUG00000051457	0.0	0.51856	-0.0	51.5355	326.465	18.0	0.0	ENSG00000233822	ENSMMUG00000051457	monkey	RDHGs	1.0
ENSG00000274641-ENSMMUG00000063246	0.0	0.333769	-0.0	57.9983	320.002	15.0	0.0	ENSG00000274641	ENSMMUG00000063246	monkey	RDHGs	1.0
ENSG00000197903-ENSMMUG00000058189	0.0	0.39728	-0.0	48.3485	329.651	14.0	0.0	ENSG00000197903	ENSMMUG00000058189	monkey	RDHGs	1.0
ENSG00000273983-ENSMMUG00000054702	0.0	0.155176	-0.0	87.9311	320.069	12.0	0.0	ENSG00000273983	ENSMMUG00000054702	monkey	RDHGs	1.0
ENSG00000278677-ENSMMUG00000049519	0.0	0.205381	-0.0	92.4506	297.549	16.0	0.0	ENSG00000278677	ENSMMUG00000049519	monkey	RDHGs	1.0
ENSG00000196890-ENSMMUG00000053022	0.0	0.205953	-0.0	51.1397	326.86	9.0	0.0	ENSG00000196890	ENSMMUG00000053022	monkey	RDHGs	1.0
ENSG00000273703-ENSMMUG00000060968	0.0103385	0.302528	0.0341737	85.5441	292.456	20.0	3.0	ENSG00000273703	ENSMMUG00000060968	monkey	RDHGs	0.9761904761904762
ENSG00000146047-ENSMMUG00000056478	0.00727817	0.478136	0.015222	104.814	276.186	34.0	2.0	ENSG00000146047	ENSMMUG00000056478	monkey	RDHGs	0.984251968503937
ENSG00000273802-H2bc8	0.0	2.3981	-0.0	61.1663	316.834	44.0	0.0	ENSG00000273802	H2bc8	mouse	RDHGs	1.0
ENSG00000274290-H2bc6	0.0	1.83612	-0.0	43.5126	334.487	26.0	0.0	ENSG00000274290	H2bc6	mouse	RDHGs	1.0
ENSG00000183598-H3c13	0.0	1.4552	5.60585e-13	42.2115	365.789	27.0	0.0	ENSG00000183598	H3c13	mouse	RDHGs	1.0
ENSG00000180573-H2ac6	0.0062103	1.75336	0.00354195	66.4113	323.589	45.0	2.0	ENSG00000180573	H2ac6	mouse	RDHGs	0.9846153846153847
ENSG00000197409-H3c4	0.00300669	2.29191	0.00131187	74.6276	333.372	45.0	1.0	ENSG00000197409	H3c4	mouse	RDHGs	0.9926470588235294
ENSG00000203852-H3c15	0.0	1.27029	7.84952e-13	49.0229	358.977	26.0	0.0	ENSG00000203852	H3c15	mouse	RDHGs	1.0
ENSG00000197903-H2bc12	0.0029724	2.17939	0.00136387	40.9042	337.096	29.0	1.0	ENSG00000197903	H2bc12	mouse	RDHGs	0.9920634920634921
ENSG00000187837-H1f2	0.0581801	1.2764	0.0455813	169.153	466.847	91.9731	26.0269	ENSG00000187837	H1f2	mouse	RDHGs	0.8826291079812206
ENSG00000184260-H2ac20	0.0	1.97076	-0.0	64.6723	322.328	45.0	0.0	ENSG00000184260	H2ac20	mouse	RDHGs	1.0
ENSG00000278463-H2ac4	0.0	3.23335	-0.0	74.5252	315.475	60.0	0.0	ENSG00000278463	H2ac4	mouse	RDHGs	1.0
ENSG00000124610-H1f1	0.117487	3.7447	0.0313742	193.685	439.315	120.544	47.4555	ENSG00000124610	H1f1	mouse	RDHGs	0.783410138248848
ENSG00000274997-H2ac12	0.00660441	1.63523	0.00403882	64.4866	319.513	42.8994	2.10063	ENSG00000274997	H2ac12	mouse	RDHGs	0.984375
ENSG00000273542-H4c12	0.0	1.62916	1.83597e-11	53.6744	255.326	32.0	0.0	ENSG00000273542	H4c12	mouse	RDHGs	1.0
ENSG00000203814-H2bc18	0.0	1.33734	-0.0	68.9195	309.08	43.0	0.0	ENSG00000203814	H2bc18	mouse	RDHGs	1.0
ENSG00000185130-H2bc13	0.00291007	1.54905	0.00187861	33.6986	344.301	22.0	1.0	ENSG00000185130	H2bc13	mouse	RDHGs	0.9920634920634921
ENSG00000180596-H2bc4	0.0	1.20928	-0.0	46.5672	331.433	27.0	0.0	ENSG00000180596	H2bc4	mouse	RDHGs	1.0
ENSG00000287080-H3c3	0.00307712	1.46968	0.00209373	82.2583	325.742	53.0	1.0	ENSG00000287080	H3c3	mouse	RDHGs	0.9926470588235294
ENSG00000184270-H2ac21	0.00319015	2.60487	0.00122469	75.7722	314.228	51.0	1.0	ENSG00000184270	H2ac21	mouse	RDHGs	0.9923076923076923
ENSG00000233822-H2bc15	0.00595103	1.75068	0.00339926	40.5381	337.462	25.0	2.0	ENSG00000233822	H2bc15	mouse	RDHGs	0.9841269841269841
ENSG00000184678-H2bc21	0.0159116	1.51719	0.0104875	59.9213	318.079	38.9967	5.0033	ENSG00000184678	H2bc21	mouse	RDHGs	0.9682539682539683
ENSG00000286522-H3c2	0.00307711	1.78761	0.00172136	82.2528	325.747	56.0	1.0	ENSG00000286522	H3c2	mouse	RDHGs	0.9926470588235294
ENSG00000196866-H2ac7	0.00308693	3.07372	0.0010043	60.2375	329.762	48.9852	1.01481	ENSG00000196866	H2ac7	mouse	RDHGs	0.9923076923076923
ENSG00000275379-H3c11	0.0	1.6273	-0.0	73.757	334.243	49.0	0.0	ENSG00000275379	H3c11	mouse	RDHGs	1.0
ENSG00000276410-H2bc3	0.00982007	1.52479	0.00644026	68.5724	309.428	39.9838	3.01619	ENSG00000276410	H2bc3	mouse	RDHGs	0.9761904761904762
ENSG00000158406-H4c8	0.0	2.23375	2.65782e-13	77.2643	231.736	55.0	0.0	ENSG00000158406	H4c8	mouse	RDHGs	1.0
ENSG00000164508-H2ac1	0.055515	1.75731	0.0315909	104.569	282.431	70.8956	15.1044	ENSG00000164508	H2ac1	mouse	RDHGs	0.8854961832061069
ENSG00000277075-H2ac8	0.0	1.62794	-0.0	79.7691	310.231	53.0	0.0	ENSG00000277075	H2ac8	mouse	RDHGs	1.0
ENSG00000184357-H1f5	0.0416821	1.88919	0.0220634	197.998	471.002	117.0	19.0	ENSG00000184357	H1f5	mouse	RDHGs	0.9070796460176991
ENSG00000275713-H2bc9	0.00615757	1.78012	0.00345907	51.6495	326.35	31.0	2.0	ENSG00000275713	H2bc9	mouse	RDHGs	0.9841269841269841
ENSG00000288859-H2ac19	0.0	1.56289	-0.0	64.2917	325.708	41.0	0.0	ENSG00000288859	H2ac19	mouse	RDHGs	1.0
ENSG00000278637-H4c1	0.0	4.29712	1.41077e-12	62.8709	246.129	47.0	0.0	ENSG00000278637	H4c1	mouse	RDHGs	1.0
ENSG00000275714-H3c1	0.0	1.46728	6.4694e-14	85.4074	322.593	55.0	0.0	ENSG00000275714	H3c1	mouse	RDHGs	1.0
ENSG00000277157-H4c4	0.0	2.00347	-0.0	70.1877	238.812	49.0	0.0	ENSG00000277157	H4c4	mouse	RDHGs	1.0
ENSG00000196787-H2ac11	0.00612277	3.02075	0.0020269	56.1301	333.87	43.9645	2.03553	ENSG00000196787	H2ac11	mouse	RDHGs	0.9846153846153847
ENSG00000277775-H3c7	0.00307287	1.98511	0.00154796	81.7975	326.202	57.0	1.0	ENSG00000277775	H3c7	mouse	RDHGs	0.9926470588235294
ENSG00000278705-H4c2	0.0	1.88192	7.63457e-13	76.9229	232.077	53.0	0.0	ENSG00000278705	H4c2	mouse	RDHGs	1.0
ENSG00000146047-H2bc1	0.0342825	3.30343	0.0103778	81.8241	299.176	64.9836	10.0164	ENSG00000146047	H2bc1	mouse	RDHGs	0.9448818897637795
ENSG00000275221-H2ac15	0.00953341	2.20134	0.00433073	64.6594	325.341	45.9183	3.08167	ENSG00000275221	H2ac15	mouse	RDHGs	0.9769230769230769
ENSG00000197238-H4c11	0.0	1.75301	2.15258e-11	51.5442	257.456	31.0	0.0	ENSG00000197238	H4c11	mouse	RDHGs	1.0
ENSG00000197061-H4c3	0.0	3.20439	4.47388e-13	71.7017	237.298	55.0	0.0	ENSG00000197061	H4c3	mouse	RDHGs	1.0
ENSG00000273703-H2bc14	0.0159759	1.58836	0.0100581	60.6213	317.379	39.9967	5.00329	ENSG00000273703	H2bc14	mouse	RDHGs	0.9682539682539683
ENSG00000124575-H1f3	0.0710722	1.09855	0.0646965	200.036	462.964	104.774	31.2261	ENSG00000124575	H1f3	mouse	RDHGs	0.8778280542986425
ENSG00000274750-H3c6	0.00301955	3.0016	0.00100598	76.0567	331.943	56.0	1.0	ENSG00000274750	H3c6	mouse	RDHGs	0.9926470588235294
ENSG00000196747-H2ac13	0.00635865	1.96017	0.00324392	57.9514	332.049	37.8979	2.10212	ENSG00000196747	H2ac13	mouse	RDHGs	0.9846153846153847
ENSG00000187475-H1f6	0.26456	2.1502	0.12304	175.296	433.704	103.672	95.3282	ENSG00000187475	H1f6	mouse	RDHGs	0.6103286384976526
ENSG00000274618-H4c6	0.0	3.95626	6.11036e-12	71.0302	237.97	53.0	0.0	ENSG00000274618	H4c6	mouse	RDHGs	1.0
ENSG00000270882-H4c14	0.0	1.18713	1.85924e-12	68.1971	240.803	36.0	0.0	ENSG00000270882	H4c14	mouse	RDHGs	1.0
ENSG00000124635-H2bc11	0.00916226	2.89381	0.00316616	47.3899	330.61	35.9917	3.0083	ENSG00000124635	H2bc11	mouse	RDHGs	0.9761904761904762
ENSG00000278828-H3c10	0.0	2.53403	3.25795e-11	64.8785	343.122	47.0	0.0	ENSG00000278828	H3c10	mouse	RDHGs	1.0
ENSG00000203811-H3c14	0.0	1.27029	7.84952e-13	49.0229	358.977	26.0	0.0	ENSG00000203811	H3c14	mouse	RDHGs	1.0
ENSG00000273983-H3c8	0.0	2.82931	4.9051e-13	77.7889	330.211	57.0	0.0	ENSG00000273983	H3c8	mouse	RDHGs	1.0
ENSG00000277224-H2bc7	0.00307529	2.10687	0.00145965	52.1608	325.839	30.0	1.0	ENSG00000277224	H2bc7	mouse	RDHGs	0.9920634920634921
ENSG00000288825-H2ac18	0.0	1.56289	-0.0	64.2917	325.708	41.0	0.0	ENSG00000288825	H2ac18	mouse	RDHGs	1.0
ENSG00000168298-H1f4	0.0285892	0.631691	0.0452582	192.356	464.644	78.0	13.0	ENSG00000168298	H1f4	mouse	RDHGs	0.9406392694063926
ENSG00000276180-H4c9	0.0	3.0313	-0.0	54.8208	254.179	34.0	0.0	ENSG00000276180	H4c9	mouse	RDHGs	1.0
ENSG00000000419-ENSMMUG00000002759	0.0119765	0.0434356	0.275731	190.721	589.279	8.0	7.0	ENSG00000000419	ENSMMUG00000002759	monkey	Other genes	0.8815331010452961
ENSG00000000457-ENSMMUG00000016583	0.0180879	0.0351827	0.514113	645.739	1400.26	22.0	25.0	ENSG00000000457	ENSMMUG00000016583	monkey	Other genes	0.8854447439353099
ENSG00000000460-ENSMMUG00000016582	0.0204155	0.0502617	0.406184	802.807	1756.19	38.679	35.321	ENSG00000000460	ENSMMUG00000016582	monkey	Other genes	0.8245967741935484
ENSG00000000938-ENSMMUG00000014434	0.0105168	0.106072	0.0991474	340.296	1246.7	33.0	13.0	ENSG00000000938	ENSMMUG00000014434	monkey	Other genes	0.9754253308128544
ENSG00000001036-ENSMMUG00000005366	0.0143405	0.0590214	0.242972	408.323	986.677	23.0	14.0	ENSG00000001036	ENSMMUG00000005366	monkey	Other genes	0.9657387580299786
ENSG00000001084-ENSMMUG00000008684	0.00300299	0.0431885	0.0695322	575.792	1335.21	24.0	4.0	ENSG00000001084	ENSMMUG00000008684	monkey	Other genes	0.9937205651491365
ENSG00000001167-ENSMMUG00000021173	0.0	0.0278891	-0.0	330.882	710.118	9.0	0.0	ENSG00000001167	ENSMMUG00000021173	monkey	Other genes	1.0
ENSG00000001460-ENSMMUG00000054255	0.0243954	0.100058	0.243813	293.484	708.516	27.0	17.0	ENSG00000001460	ENSMMUG00000054255	monkey	Other genes	0.9520958083832335
ENSG00000001461-ENSMMUG00000004466	0.0113382	0.0715376	0.158493	329.299	888.701	22.0	10.0	ENSG00000001461	ENSMMUG00000004466	monkey	Other genes	0.9753694581280788
ENSG00000001561-ENSMMUG00000042260	0.0125549	0.0475618	0.26397	392.88	966.12	18.0	12.0	ENSG00000001561	ENSMMUG00000042260	monkey	Other genes	0.9757174392935982
ENSG00000001617-ENSMMUG00000010337	0.00670687	0.0999845	0.0670791	557.698	1797.3	51.0	12.0	ENSG00000001617	ENSMMUG00000010337	monkey	Other genes	0.9847133757961783
ENSG00000001626-ENSMMUG00000011269	0.0113612	0.045974	0.247122	1273.81	3148.19	56.5247	35.4753	ENSG00000001626	ENSMMUG00000011269	monkey	Other genes	0.9652173913043478
ENSG00000001629-ENSMMUG00000005120	0.00393937	0.0294462	0.133782	974.267	2292.73	28.0	9.0	ENSG00000001629	ENSMMUG00000005120	monkey	Other genes	0.9917355371900827
ENSG00000001631-ENSMMUG00000014907	0.00311504	0.0481015	0.0647598	584.356	1623.64	26.9537	5.0463	ENSG00000001631	ENSMMUG00000014907	monkey	Other genes	0.9932065217391305
ENSG00000002016-ENSMMUG00000018654	0.0373829	0.136805	0.273257	340.344	913.656	41.7298	33.2702	ENSG00000002016	ENSMMUG00000018654	monkey	Other genes	0.8733031674208145
ENSG00000002330-ENSMMUG00000060596	0.0127657	0.0595174	0.214488	105.116	395.884	6.0	5.0	ENSG00000002330	ENSMMUG00000060596	monkey	Other genes	0.9642857142857143
ENSG00000002549-ENSMMUG00000005732	0.0064444	0.0610681	0.105528	464.658	1092.34	27.0	7.0	ENSG00000002549	ENSMMUG00000005732	monkey	Other genes	0.9884393063583815
ENSG00000002587-ENSMMUG00000001341	0.00677254	0.139354	0.0485993	178.554	742.446	22.0	5.0	ENSG00000002587	ENSMMUG00000001341	monkey	Other genes	0.9837133550488599
ENSG00000002726-ENSMMUG00000020435	0.0232301	0.102787	0.226002	483.022	1769.98	45.5457	40.4543	ENSG00000002726	ENSMMUG00000020435	monkey	Other genes	0.9456953642384106
ENSG00000002745-ENSMMUG00000002439	0.00633426	0.0484544	0.130726	301.464	793.536	14.0	5.0	ENSG00000002745	ENSMMUG00000002439	monkey	Other genes	0.9863013698630136
ENSG00000002746-ENSMMUG00000019015	0.00361375	0.0637987	0.056643	1168.37	3649.63	70.8444	13.1556	ENSG00000002746	ENSMMUG00000019015	monkey	Other genes	0.9919053549190535
ENSG00000002822-ENSMMUG00000011659	0.00738467	0.177963	0.0414956	382.304	1771.7	59.0	13.0	ENSG00000002822	ENSMMUG00000011659	monkey	Other genes	0.9832869080779945
ENSG00000002834-ENSMMUG00000007799	0.00591438	0.081909	0.0722067	103.473	679.527	8.0	4.0	ENSG00000002834	ENSMMUG00000007799	monkey	Other genes	0.9846743295019157
ENSG00000002919-ENSMMUG00000020658	0.0419364	0.107223	0.391114	206.81	603.19	20.4013	24.5987	ENSG00000002919	ENSMMUG00000020658	monkey	Other genes	0.9377289377289377
ENSG00000003056-ENSMMUG00000017846	0.00356072	0.0587703	0.0605871	267.982	563.018	15.0	2.0	ENSG00000003056	ENSMMUG00000017846	monkey	Other genes	0.889967637540453
ENSG00000003137-ENSMMUG00000012141	0.00388225	0.150951	0.0257186	244.702	1291.3	32.0	5.0	ENSG00000003137	ENSMMUG00000012141	monkey	Other genes	0.990234375
ENSG00000003147-ENSMMUG00000005435	0.00877736	0.0527691	0.166335	417.513	1031.49	21.0	9.0	ENSG00000003147	ENSMMUG00000005435	monkey	Other genes	0.9239766081871345
ENSG00000003249-ENSMMUG00000000398	0.0566597	0.163081	0.347432	91.0589	379.941	13.2933	20.7067	ENSG00000003249	ENSMMUG00000000398	monkey	Other genes	0.9050632911392406
ENSG00000003393-ENSMMUG00000018155	0.00540441	0.0465866	0.116008	1560.26	3410.74	69.6417	18.3583	ENSG00000003393	ENSMMUG00000018155	monkey	Other genes	0.9891369945684972
ENSG00000003400-ENSMMUG00000031297	0.0697316	0.0515218	1.35344	519.735	1034.26	25.6272	68.3728	ENSG00000003400	ENSMMUG00000031297	monkey	Other genes	0.8874045801526718
ENSG00000003402-ENSMMUG00000012310	0.022187	0.0621496	0.356993	476.391	963.609	28.0	21.0	ENSG00000003402	ENSMMUG00000012310	monkey	Other genes	0.9583333333333334
ENSG00000003436-ENSMMUG00000009448	0.0306135	0.047343	0.646631	240.577	671.423	10.9185	20.0815	ENSG00000003436	ENSMMUG00000009448	monkey	Other genes	0.9375
ENSG00000003509-ENSMMUG00000016434	0.0142962	0.0500607	0.285577	334.217	988.783	16.0	14.0	ENSG00000003509	ENSMMUG00000016434	monkey	Other genes	0.9660633484162896
ENSG00000003756-ENSMMUG00000004921	0.000595128	0.0365229	0.0162946	763.866	1681.13	27.0	1.0	ENSG00000003756	ENSMMUG00000004921	monkey	Other genes	0.9987730061349693
ENSG00000003987-ENSMMUG00000001878	0.00272496	0.07762	0.0351064	509.318	1470.68	37.0	4.0	ENSG00000003987	ENSMMUG00000001878	monkey	Other genes	0.9939393939393939
ENSG00000003989-ENSMMUG00000022303	0.0140736	0.0790599	0.178012	609.958	1364.04	45.0	19.0	ENSG00000003989	ENSMMUG00000022303	monkey	Other genes	0.9711246200607903
ENSG00000004059-ENSMMUG00000046381	0.0	0.0357082	-0.0	115.421	424.579	4.0	0.0	ENSG00000004059	ENSMMUG00000046381	monkey	Other genes	1.0
ENSG00000004139-ENSMMUG00000061478	0.00348941	0.122251	0.0285431	447.372	1724.63	49.0	6.0	ENSG00000004139	ENSMMUG00000061478	monkey	Other genes	0.9917127071823204
ENSG00000004142-ENSMMUG00000019146	0.012097	0.0665339	0.181816	329.225	774.775	20.7111	9.28885	ENSG00000004142	ENSMMUG00000019146	monkey	Other genes	0.9679144385026738
ENSG00000004399-ENSMMUG00000012737	0.00636189	0.141087	0.0450918	1001.9	4773.1	124.782	30.2178	ENSG00000004399	ENSMMUG00000012737	monkey	Other genes	0.9844155844155844
ENSG00000004468-ENSMMUG00000015298	0.0379343	0.041177	0.921249	258.977	641.023	10.3717	23.6283	ENSG00000004468	ENSMMUG00000015298	monkey	Other genes	0.9269102990033222
ENSG00000004478-ENSMMUG00000007405	0.00718626	0.0553508	0.129831	397.419	979.581	21.0	7.0	ENSG00000004478	ENSMMUG00000007405	monkey	Other genes	0.9847494553376906
ENSG00000004487-ENSMMUG00000009773	0.00110585	0.0423501	0.0261122	806.107	1809.89	33.0	2.0	ENSG00000004487	ENSMMUG00000009773	monkey	Other genes	0.9931506849315068
ENSG00000004534-ENSMMUG00000003494	0.00843494	0.0311727	0.270588	946.018	2422.98	28.6875	20.3125	ENSG00000004534	ENSMMUG00000003494	monkey	Other genes	0.9813167259786477
ENSG00000004660-ENSMMUG00000020251	0.00178228	0.109084	0.0163386	391.277	1123.72	39.0	2.0	ENSG00000004660	ENSMMUG00000020251	monkey	Other genes	0.9454887218045113
ENSG00000004700-ENSMMUG00000010857	0.0108743	0.0637109	0.170682	442.707	1504.29	26.7649	16.2351	ENSG00000004700	ENSMMUG00000010857	monkey	Other genes	0.9695121951219512
ENSG00000004766-ENSMMUG00000017311	0.00189023	0.0456596	0.0413982	772.648	2119.35	34.0	4.0	ENSG00000004766	ENSMMUG00000017311	monkey	Other genes	0.995850622406639
ENSG00000004776-ENSMMUG00000002389	0.00273067	0.0853351	0.0319994	113.122	366.878	9.0	1.0	ENSG00000004776	ENSMMUG00000002389	monkey	Other genes	0.99375
