gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv	non_nsite	mis_nsite	ssite
CSNK2B	0	6	1	1	4	8.656311529	39.14022109	39.14022109	51.52092677	0.000131	0.001083972	4.03e-06	2.43e-05	0.13	0.673862571	0.00379	0.045725774	2.35e-09	3.4e-06	1.2639562e-06	2.7611911100000055e-05	1.1180716999999988e-05
KRAS	1	14	0	0	0	13.39599839	0.0	0.0	0.0	5.09e-11	0.677031231	3.82e-10	1.0	1.91e-07	0.942412671	6.54e-07	1.0	8.67e-09	1.16e-05	1.0474509000000003e-06	1.27412264e-05	4.809645300000003e-06
FGFR3	8	40	1	1	1	3.943831109	3.651062411	3.651062411	5.990157669	1.24e-09	0.135	5.39e-09	0.143641899	3.89e-06	0.942	8.45e-06	1.0	1.7e-08	2.07e-05	5.857696999999997e-06	0.00020411699490000186	0.00010955250599999848
PPM1D	1	5	7	0	5	1.101802884	13.24048538	13.24048538	29.58742482	0.839770037	2.37e-06	1.45e-05	5.54e-05	0.933110508	0.004047448	0.011371515	0.0948	1.76e-08	2.07e-05	2.753844999999999e-06	3.316344580000015e-05	1.2189689299999972e-05
ARID1A	8	19	9	3	7	0.988680129	9.311081872	9.311081872	8.128208441	0.966	4.39e-08	2.26e-07	0.00409	0.987426103	0.000103	0.00025	1.0	2.01e-08	2.23e-05	1.1576732780000035e-05	0.0002190904609000018	8.916670519999996e-05
KMT2E	3	13	3	2	15	1.053732234	5.466445312	5.466445312	25.48090327	0.869	0.003650526	0.0145	2.27e-07	0.945	0.942412671	0.977	0.000534	6.77e-08	7.08e-05	1.0903342899999992e-05	0.00022174489210000607	7.917901979999996e-05
BRAF	1	24	0	0	1	5.215640833	0.0	0.0	4.276873708	8.08e-09	0.244	2.29e-08	0.191	1.9e-05	0.942412671	3.07e-05	1.0	8.83e-08	8.74e-05	2.6889591e-06	2.8180231500000042e-05	1.0856114499999997e-05
HRAS	0	16	0	0	1	7.135492789	0.0	0.0	22.17390094	2.17e-08	0.635	1.35e-07	0.043206942	4.07e-05	0.942412671	0.000159	1.0	1.16e-07	0.000109	1.772837999999999e-06	4.413905190000001e-05	2.0140814400000014e-05
EP300	6	40	5	2	9	2.081814115	4.416065912	4.416065912	10.658643	0.000862	0.002200506	0.000127	0.000752	0.522893104	0.942412671	0.082068707	0.643553404	1.63e-06	0.001463855	4.768341099999998e-06	6.854186759999954e-05	2.4832817999999986e-05
SCAF4	0	6	3	0	6	2.77592662	16.84328312	16.84328312	15.83241536	0.03952055	0.00086	0.000585	0.000377	0.813667722	0.577555874	0.289834858	0.417122755	3.6e-06	0.003080036	6.638204799999989e-06	9.898127960000005e-05	3.5623444000000036e-05
BMPR2	5	12	5	1	6	1.324764353	7.927486542	7.927486542	16.59108712	0.399	0.000205	0.000882	0.000306	0.813667722	0.21442475	0.386014069	0.360075423	4.36e-06	0.003562615	2.8652505000000046e-06	4.30010021999998e-05	1.414806489999997e-05
TCF12	0	4	2	1	2	5.081713187	42.86103935	42.86103935	9.580846991	0.011837652	4.92e-05	1.37e-05	0.0293	0.813667722	0.066054512	0.011215786	1.0	6.32e-06	0.004956486	9.28760670000005e-06	0.0001769672494999956	6.275723539999993e-05
DHX9	0	7	3	0	5	3.820726901	14.54470458	14.54470458	10.82719247	0.005161047	0.001339078	0.000159	0.00288	0.813667722	0.740982549	0.09628148	1.0	7.12e-06	0.005257093	3.044236599999998e-06	3.473795390000004e-05	1.1672274600000009e-05
CCAR2	1	9	2	1	1	4.905297785	25.2150818	25.2150818	4.573647438	0.000285	0.000251	2.59e-06	0.18	0.223238398	0.248220643	0.00270321	1.0	7.27e-06	0.005257093			
NSD1	8	37	7	0	9	1.713112325	4.464045745	4.464045745	11.05390958	0.0154	0.002042888	0.00114	0.000626	0.813667722	0.942412671	0.469918994	0.616354807	1.08e-05	0.007510475	1.9731508199999906e-05	0.0002961341945999989	0.00010795281310000128
LZTR1	1	11	0	1	1	6.714542809	10.63061868	10.63061868	6.205894697	4e-06	0.0888	6.74e-06	0.139325334	0.00612289	0.942412671	0.005763922	1.0	1.4e-05	0.009387911	2.9683966999999997e-06	8.276870290000052e-05	3.8563514500000014e-05
SEMG1	1	3	0	0	6	2.759154358	0.0	0.0	38.60711679	0.139882405	0.615	0.294594793	4.97e-06	0.813667722	0.942412671	0.977167932	0.010384608	2.11e-05	0.013701939	3.1836378000000002e-06	2.7373101099999995e-05	1.0084612999999985e-05
ARHGAP35	3	26	4	0	7	1.594220443	4.470927546	4.470927546	16.97603554	0.0662	0.018404314	0.0173	0.000153	0.813667722	0.942412671	0.977167932	0.22209434	3.68e-05	0.023083831	2.278362599999998e-06	4.6925668399999894e-05	1.9081088100000045e-05
FGFR2	3	27	0	0	0	3.639026247	0.0	0.0	0.0	1.03e-06	0.285	2.98e-06	1.0	0.001769645	0.942412671	0.002952346	1.0	4.09e-05	0.02483193	2.0755228099999924e-05	0.0003502151228999807	0.00015623758419999983
CBL	1	22	3	2	0	3.07175061	7.166251637	7.166251637	0.0	7.95e-05	0.001092594	5.66e-06	1.0	0.087984689	0.673862571	0.005070673	1.0	7.4e-05	0.043532431	2.0635243000000003e-06	2.6671601900000042e-05	1.0408745500000022e-05
SSX1	0	3	1	0	1	17.95278733	61.51717976	61.51717976	16.48759188	0.000708	0.012437694	0.000152	0.057279466	0.459541304	0.942412671	0.095311852	1.0	0.00011	0.062791047			
RBM12	0	2	3	0	3	0.902054889	36.94933692	36.94933692	6.784439738	0.885074929	7.77e-05	0.000395	0.0279	0.953376795	0.097426739	0.225094422	1.0	0.000137	0.075757825	2.6920396999999947e-06	0.00010199074729999999	3.813719910000017e-05
TRERF1	1	8	4	0	0	2.899554601	22.1873046	22.1873046	0.0	0.01470028	4.12e-05	1.7e-05	1.0	0.813667722	0.059603777	0.012757213	1.0	0.000203	0.109212123	8.737777300000013e-06	0.00017646122330000285	8.195876729999961e-05
FAM222B	1	9	0	0	0	8.45587036	0.0	0.0	0.0	4.23e-06	0.741976038	2.39e-05	1.0	0.00612289	0.942412671	0.017270678	1.0	0.000278	0.145226317	4.365136599999995e-06	8.993748869999974e-05	4.0970036699999914e-05
FAT1	19	82	5	0	18	1.502625348	1.938875881	1.938875881	8.653498012	0.016051264	0.194219779	0.036183072	0.000691	0.813667722	0.942412671	0.977167932	0.619115382	0.00029	0.147412984	6.795754300000001e-06	0.00015888575710000055	7.277380760000009e-05
BCL9	1	8	3	0	3	2.121631518	17.19039009	17.19039009	6.652021741	0.073998011	0.000806	0.000937	0.029110649	0.813667722	0.561666708	0.400498311	1.0	0.000314	0.155378827	1.9992659e-06	4.5353653199999845e-05	1.7247468300000008e-05
EIF2S3L	0	3	1	0	4	1.67328331	14.70731797	14.70731797	27.72737667	0.424	0.061689605	0.13	0.00023	0.813667722	0.942412671	0.977167932	0.288784282	0.000342	0.164800095	9.170659000000008e-07	2.5989600999999968e-05	9.986406100000011e-06
ANKRD11	4	8	1	0	10	1.379606603	3.466969844	3.466969844	15.28461223	0.419715955	0.30501004	0.439384577	7.51e-05	0.813667722	0.942412671	0.977167932	0.117707085	0.000373	0.175593072	8.479843199999994e-06	0.00019125483429999652	9.411581940000034e-05
TSPYL2	2	6	1	0	3	4.249714305	15.96973997	15.96973997	10.94218434	0.00546	0.05620139	0.00373	0.009544561	0.813667722	0.942412671	0.977167932	1.0	0.0004	0.18356771			
CTNNB1	1	10	4	2	2	1.19998184	8.540831618	8.540831618	6.578557125	0.611635765	0.00014	0.000698	0.053674048	0.832544283	0.161989989	0.321289729	1.0	0.000419	0.187711147	8.133115399999984e-06	0.00012576288819999927	3.872851679999977e-05
UBE2H	0	1	0	1	2	4.975312691	40.72467604	40.72467604	35.81053785	0.207	0.019687208	0.0302	0.00272563	0.813667722	0.942412671	0.977167932	1.0	0.000857	0.375163742	1.362493999999999e-06	2.2256129499999972e-05	1.0148896699999984e-05
ASXL1	2	26	2	0	4	2.093498614	2.607504812	2.607504812	9.264852841	0.004327624	0.248323753	0.011178245	0.00777967	0.813667722	0.942412671	0.977167932	1.0	0.0009	0.384861754	6.211186900000009e-06	0.0001052984247999999	4.382691679999996e-05
HNRNPK	1	7	0	0	0	9.718005789	0.0	0.0	0.0	1.81e-05	0.738	9.55e-05	1.0	0.024276456	0.942412671	0.066566463	1.0	0.00098	0.409626347	4.195917000000008e-06	8.93532101000013e-05	3.0058582899999996e-05
HIST1H1A	0	5	0	0	0	16.20938902	0.0	0.0	0.0	2.27e-05	0.912361043	0.000126	1.0	0.028420694	0.942412671	0.082068707	1.0	0.001253617	0.512729243	1.3353829999999996e-07	6.199306700000007e-06	2.5643751999999998e-06
HRNR	3	12	0	0	2	4.207535555	0.0	0.0	2.050127019	0.000141	0.502187435	0.000546	0.244918703	0.132691888	0.942412671	0.277399141	1.0	0.001325513	0.530600134	4.478735299999997e-06	4.8813159399999976e-05	2.1874850200000003e-05
KMT2D	10	67	10	1	3	1.516157937	3.866182258	3.866182258	1.969377488	0.0247	0.000465	0.000658	0.220246864	0.813667722	0.364671535	0.317665958	1.0	0.001426906	0.555356672	8.948107500000009e-06	0.00018824983550000054	7.649314389999956e-05
TET2	4	39	2	1	4	1.97541538	2.467044511	2.467044511	5.925830477	0.002281257	0.181991365	0.005829494	0.025257587	0.813667722	0.942412671	0.977167932	1.0	0.001446395	0.555356672	1.9635846800000056e-05	0.0003267083298999984	0.00012452836089999947
AR	1	7	0	3	2	2.070695	12.4458313	12.4458313	5.462605431	0.102492274	0.002132952	0.002883147	0.071103505	0.813667722	0.942412671	0.874895617	1.0	0.001945978	0.732232757			
HIST1H3C	0	2	1	0	1	6.096740862	78.99401579	78.99401579	20.67565403	0.050663432	0.009426798	0.005297121	0.0462	0.813667722	0.942412671	0.977167932	1.0	0.00227961	0.840952473	1.4294099999999996e-07	4.286458799999993e-06	1.5958232999999992e-06
GIGYF1	3	2	2	0	3	0.917221325	10.64335192	10.64335192	14.297399	0.903642812	0.016383628	0.055204229	0.00497	0.961113452	0.942412671	0.977167932	1.0	0.002525155	0.91362068	2.070423000000001e-06	3.8193983099999965e-05	1.7854557100000004e-05
NEK6	1	1	0	1	2	2.479155441	27.11738504	27.11738504	27.46583372	0.433254236	0.031019538	0.072831668	0.004493276	0.813667722	0.942412671	0.977167932	1.0	0.002953384	1.0	7.50660169999998e-06	0.00013892742260000068	7.506016380000022e-05
FUT9	0	2	0	0	4	1.663526891	0.0	0.0	23.00913633	0.514410858	0.703854159	0.751129893	0.00044	0.815922642	0.942412671	0.977167932	0.460120085	0.00298012	1.0	6.747059000000004e-07	9.5754644e-06	3.5086628000000035e-06
OR2J2	0	0	0	0	3	0.0	0.0	0.0	27.06591628	0.160162318	0.816403073	0.363255557	0.000938	0.813667722	0.942412671	0.977167932	0.735218538	0.00306036	1.0	3.2664129999999997e-07	9.009598699999992e-06	3.454005400000002e-06
MAP2K1	1	7	1	0	2	2.91087907	5.546994724	5.546994724	16.13110652	0.021304175	0.183257443	0.031525219	0.011906254	0.813667722	0.942412671	0.977167932	1.0	0.003335959	1.0	7.420023000000007e-07	1.7245041999999976e-05	8.424330900000017e-06
PSMD3	0	0	1	1	1	0.0	30.18358356	30.18358356	6.770193489	0.168414049	0.001872286	0.00294037	0.129171744	0.813667722	0.942412671	0.878097135	1.0	0.003371154	1.0	1.6840866999999982e-06	3.580501230000007e-05	1.3375680900000011e-05
TRADD	0	5	0	0	0	12.63542524	0.0	0.0	0.0	7.6e-05	0.817717554	0.000387	1.0	0.087984689	0.942412671	0.225094422	1.0	0.003427527	1.0	8.066739000000003e-07	1.6027616999999982e-05	8.126019300000017e-06
ZNF780B	0	0	0	0	4	0.0	0.0	0.0	10.90402761	0.034028521	0.496874728	0.085010329	0.004852613	0.813667722	0.942412671	0.977167932	1.0	0.003627399	1.0	4.1624570999999926e-06	4.872911319999997e-05	1.561492320000002e-05
OR52A1	0	2	0	0	3	2.134467572	0.0	0.0	30.86752103	0.348267731	0.84	0.631	0.000655	0.813667722	0.942412671	0.977167932	0.616354807	0.003632767	1.0	4.5158400000000024e-07	1.7565719199999938e-05	5.432797000000005e-06
OR52A5	0	0	1	0	2	0.0	20.38345449	20.38345449	20.31626638	0.21254069	0.0427	0.058	0.007846751	0.813667722	0.942412671	0.977167932	1.0	0.003954813	1.0	5.646386000000001e-07	8.2064084e-06	3.0081003999999994e-06
MYO10	2	0	2	0	2	0.0	5.912496492	5.912496492	2.602697202	0.004651608	0.053732355	0.00242	0.18898363	0.813667722	0.942412671	0.760892565	1.0	0.00397831	1.0	1.7286253300000055e-05	0.00027639368529999974	0.00012608303700000148
PUF60	2	10	0	0	0	5.077935976	0.0	0.0	0.0	0.000104	0.655100919	0.000476	1.0	0.108668243	0.942412671	0.263560103	1.0	0.004119713	1.0	4.432805100000004e-06	0.0001445392505999973	6.885848489999954e-05
PSG1	1	2	0	1	2	2.058800678	15.30089967	15.30089967	28.2927071	0.369128545	0.058987836	0.114840365	0.004250712	0.813667722	0.942412671	0.977167932	1.0	0.004210265	1.0	4.845330899999981e-06	7.97399558000001e-05	3.4001620099999955e-05
YTHDC1	1	5	3	1	0	2.487534325	12.71927988	12.71927988	0.0	0.086865281	0.000374	0.000517	1.0	0.813667722	0.313079038	0.277399141	1.0	0.00442799	1.0	7.630999499999992e-06	6.4372496199999e-05	1.8690432199999963e-05
TNPO3	2	4	2	0	2	2.77435583	12.42557253	12.42557253	7.144446716	0.0886	0.011921055	0.011	0.04718726	0.813667722	0.942412671	0.977167932	1.0	0.004440046	1.0	1.0533148000000034e-05	0.00013407738909999988	4.694455009999998e-05
STXBP5L	0	7	1	1	0	4.236583758	13.57570044	13.57570044	0.0	0.00290851	0.009947084	0.000531	1.0	0.813667722	0.942412671	0.277399141	1.0	0.004537311	1.0	1.4300392899999983e-05	0.00018066884670000163	6.24390243999996e-05
STUB1	0	2	2	0	1	2.351658451	22.19641891	22.19641891	12.61728964	0.29654693	0.00356869	0.008737603	0.073593645	0.813667722	0.942412671	0.977167932	1.0	0.005368878	1.0	1.8327792000000006e-06	3.178428570000006e-05	1.4327870299999944e-05
CAPRIN1	0	4	0	0	3	3.759919806	0.0	0.0	12.30698673	0.033507862	0.641839718	0.092953196	0.007194828	0.813667722	0.942412671	0.977167932	1.0	0.005557615	1.0	6.972155100000014e-06	9.771898570000059e-05	3.273395340000003e-05
KIAA1239	0	0	1	0	2	0.0	4.408877746	4.408877746	3.826907219	0.003163014	0.235681091	0.005841216	0.117	0.813667722	0.942412671	0.977167932	1.0	0.005674264	1.0	2.415706400000001e-06	4.772781879999984e-05	2.0053123400000036e-05
KDM5C	5	19	3	1	0	2.221169723	6.614823394	6.614823394	0.0	0.006069118	0.004477632	0.000707	1.0	0.813667722	0.942412671	0.321289729	1.0	0.005835222	1.0			
PIWIL1	0	3	1	3	0	1.271266817	16.15849062	16.15849062	0.0	0.698300764	0.000146	0.000717	1.0	0.86746983	0.161989989	0.321289729	1.0	0.005910135	1.0	3.4300209000000027e-06	5.4004772599999866e-05	1.8393388199999962e-05
ARAP3	2	0	0	0	3	0.0	0.0	0.0	8.227892401	0.013936023	0.501834681	0.03943289	0.0184	0.813667722	0.942412671	0.977167932	1.0	0.00596876	1.0	6.678772199999988e-06	0.00015903474729999953	6.003882620000007e-05
MYCBP2	0	15	1	1	2	2.901518941	4.23131453	4.23131453	1.295015583	0.001320856	0.102966242	0.00201	0.372167191	0.768773722	0.942412671	0.664865436	1.0	0.006144147	1.0	2.6546470199999992e-05	0.0003757741708999984	0.00013596376509999967
ADNP	2	10	1	0	1	3.623978995	5.824950211	5.824950211	2.56614499	0.001430163	0.173593631	0.002767571	0.282530147	0.768773722	0.942412671	0.853591567	1.0	0.006375603	1.0	7.450262799999975e-06	0.00012544851230000012	4.7398751600000034e-05
ASPDH	0	0	0	0	2	0.0	0.0	0.0	52.2475896	0.338477321	0.787394841	0.610148592	0.001322468	0.813667722	0.942412671	0.977167932	0.921710961	0.006553905	1.0	1.042682699999999e-06	2.3138658099999874e-05	9.805868099999991e-06
CALR	6	3	0	0	3	0.618655004	0.0	0.0	21.73760779	0.386586841	0.414874817	0.49890961	0.001688212	0.813667722	0.942412671	0.977167932	1.0	0.006805012	1.0	7.326401000000002e-07	1.9916325599999935e-05	9.491886499999972e-06
SNRNP27	0	3	0	0	1	9.421843197	0.0	0.0	20.46585688	0.004883473	0.759971169	0.018119029	0.04664958	0.813667722	0.942412671	0.977167932	1.0	0.006826101	1.0	1.5459677999999996e-06	1.3738826200000048e-05	4.268044199999999e-06
TAS2R30	0	1	0	0	3	0.934782634	0.0	0.0	27.67605395	0.946310085	0.792923951	0.963997064	0.000883	0.979071142	0.942412671	0.97844722	0.72212344	0.006865583	1.0	3.0557949999999995e-07	7.907214199999993e-06	2.8033981999999983e-06
TMEM99	0	2	0	0	2	5.395137467	0.0	0.0	26.56607476	0.064445457	0.861017901	0.178	0.004781583	0.813667722	0.942412671	0.977167932	1.0	0.006870516	1.0	5.781162000000001e-07	1.222438330000002e-05	5.746658700000001e-06
ZNF337	0	0	0	0	3	0.0	0.0	0.0	14.27696075	0.077126283	0.529992663	0.173433937	0.004989362	0.813667722	0.942412671	0.977167932	1.0	0.006967946	1.0	7.344635100000007e-06	6.311734559999954e-05	2.1031355799999962e-05
PNISR	3	1	1	0	4	0.6565124	5.979293889	5.979293889	13.56452068	0.65580929	0.168608689	0.347541019	0.002497146	0.849898537	0.942412671	0.977167932	1.0	0.006985826	1.0	4.253789799999997e-06	5.660166079999947e-05	1.7934084499999962e-05
RAG1	0	4	1	0	4	1.143013951	6.847049561	6.847049561	13.40266627	0.802274738	0.145	0.338	0.00259235	0.916398332	0.942412671	0.977167932	1.0	0.007052517	1.0	2.5107118999999965e-06	6.004640279999991e-05	2.0511249800000025e-05
FIBIN	1	1	0	0	2	1.791757568	0.0	0.0	55.94777892	0.598030057	0.824108607	0.848784848	0.001158755	0.828217703	0.942412671	0.977167932	0.870394935	0.007793877	1.0	2.8206489999999996e-07	7.102545800000009e-06	3.061968900000001e-06
CDH2	1	7	0	1	1	4.10800991	8.296983895	8.296983895	3.329315138	0.003430003	0.117201135	0.004474688	0.232451721	0.813667722	0.942412671	0.977167932	1.0	0.008184299	1.0	3.260600499999992e-06	6.113229559999949e-05	2.5053614100000017e-05
BRWD1	1	0	0	0	4	0.0	0.0	0.0	5.248049771	0.011482852	0.457301332	0.031736203	0.033684379	0.813667722	0.942412671	0.977167932	1.0	0.00838216	1.0	1.4597303999999974e-05	0.0001973530033999994	6.575170499999994e-05
KAT6B	12	19	2	0	7	0.913346924	1.646301223	1.646301223	10.39597823	0.733245393	0.521	0.751730192	0.001506526	0.881487465	0.942412671	0.977167932	0.977579355	0.008814625	1.0	1.4995949600000043e-05	0.00027989054299999385	0.00011769737499999968
BOD1L1	7	7	3	0	5	1.034063464	8.37541769	8.37541769	4.23512963	0.934344242	0.006801591	0.025640139	0.04475974	0.974356377	0.942412671	0.977167932	1.0	0.008917258	1.0	3.949615899999995e-06	8.33521676999995e-05	3.321772430000005e-05
C9orf91	0	0	0	2	0	0.0	64.69742852	64.69742852	0.0	0.357	0.000376	0.001148946	1.0	0.813667722	0.313079038	0.469918994	1.0	0.00892606	1.0	8.783476000000004e-07	2.1241488400000075e-05	1.0351824600000019e-05
HIST1H2BF	1	1	0	0	2	2.180754101	0.0	0.0	49.29292179	0.493226781	0.873156233	0.780634066	0.001479462	0.813667722	0.942412671	0.977167932	0.977579355	0.008966467	1.0	9.38761e-08	3.503045000000001e-06	1.5520711000000003e-06
PIK3R2	3	5	0	0	3	0.819399999	0.0	0.0	20.79273553	0.665007641	0.377431288	0.622002801	0.001898629	0.852917974	0.942412671	0.977167932	1.0	0.009142264	1.0	2.708092800000007e-06	7.435891579999975e-05	3.45365847e-05
CXCR4	1	2	1	0	2	0.481048516	6.914420335	6.914420335	21.86891379	0.257128431	0.143598208	0.173165435	0.006856017	0.813667722	0.942412671	0.977167932	1.0	0.009184536	1.0	6.909075e-07	1.8214216499999987e-05	8.0172145e-06
KRT84	0	8	0	0	0	5.518780008	0.0	0.0	0.0	0.000272	0.738621058	0.001241712	1.0	0.222524767	0.942412671	0.497054566	1.0	0.009550333	1.0	5.940299000000003e-07	2.268306729999997e-05	8.520695700000006e-06
LRRC69	0	0	1	1	0	0.0	64.53618002	64.53618002	0.0	0.412717442	0.000378	0.001268318	1.0	0.813667722	0.313079038	0.497127622	1.0	0.009728077	1.0	9.202067000000005e-07	1.5722035400000015e-05	6.470633399999998e-06
SLFN13	2	0	1	0	2	0.0	10.57430056	10.57430056	8.913259339	0.059878157	0.089306602	0.038711851	0.033044685	0.813667722	0.942412671	0.977167932	1.0	0.009800756	1.0	7.347341199999991e-06	0.0001415666101999992	5.613714680000061e-05
SCAF11	1	4	0	0	5	1.792241398	0.0	0.0	11.07649325	0.303057416	0.555910238	0.491244725	0.002658696	0.813667722	0.942412671	0.977167932	1.0	0.009979333	1.0	1.3077859400000078e-05	0.0001775414965999979	5.963103860000003e-05
IMPA1	0	0	2	0	0	0.0	64.17898956	64.17898956	0.0	0.427612533	0.000383	0.001310563	1.0	0.813667722	0.313079038	0.503202734	1.0	0.010009161	1.0	2.574701400000007e-06	4.6328648900000066e-05	1.6410896099999905e-05
ZFHX3	22	57	2	0	7	1.451008709	1.062790834	1.062790834	6.281040956	0.043359595	0.933076375	0.128635803	0.010393866	0.813667722	0.948708329	0.977167932	1.0	0.01018452	1.0	9.059359299999998e-06	0.00019579390660000038	8.897590490000015e-05
PICALM	0	0	0	0	3	0.0	0.0	0.0	18.02755535	0.258271252	0.739790317	0.499928493	0.002756409	0.813667722	0.942412671	0.977167932	1.0	0.010455102	1.0	3.3157349999999926e-06	9.165429550000016e-05	3.0961690100000064e-05
RBFOX2	0	2	0	0	3	1.679458376	0.0	0.0	20.6912412	0.507141964	0.639012205	0.71738438	0.00192327	0.814268492	0.942412671	0.977167932	1.0	0.010466409	1.0	5.358737200000013e-06	0.00012515814999999978	6.000725660000023e-05
MECP2	3	5	0	0	0	9.447604585	0.0	0.0	0.0	0.000299	0.811053503	0.001402775	1.0	0.225137271	0.942412671	0.527836039	1.0	0.010618026	1.0			
HERC5	1	4	1	1	0	3.604628866	25.32647727	25.32647727	0.0	0.038453613	0.002703224	0.001475056	1.0	0.813667722	0.942412671	0.541024085	1.0	0.011091037	1.0	1.8215364000000023e-06	4.083965970000007e-05	1.726536240000005e-05
AKR7A2	0	0	1	1	0	0.0	49.23045816	49.23045816	0.0	0.241719516	0.000669	0.001495336	1.0	0.813667722	0.484000804	0.541024085	1.0	0.011223102	1.0	7.248182000000004e-07	2.5348991200000094e-05	1.2557358800000018e-05
ZBTB39	0	5	0	0	3	2.192436097	0.0	0.0	14.08923545	0.134349921	0.66235064	0.294588018	0.005156863	0.813667722	0.942412671	0.977167932	1.0	0.011377832	1.0	9.497727e-07	2.2686871299999973e-05	9.597659000000016e-06
TMEM70	0	0	2	0	0	0.0	53.31569825	53.31569825	0.0	0.308798885	0.000566	0.001524425	1.0	0.813667722	0.425588419	0.541141977	1.0	0.011412053	1.0	1.1047887999999998e-06	1.30599266e-05	5.653928800000006e-06
C17orf107	0	0	0	0	2	0.0	0.0	0.0	38.4684891	0.37521027	0.807730217	0.655411344	0.002378704	0.813667722	0.942412671	0.977167932	1.0	0.011636115	1.0	3.9115550000000005e-07	7.728632000000005e-06	4.050422899999996e-06
ZBTB11	2	7	1	0	2	3.158441541	4.475651475	4.475651475	5.959511608	0.014001051	0.231748457	0.025797145	0.062428681	0.813667722	0.942412671	0.977167932	1.0	0.011967847	1.0	2.8302040000000014e-06	3.3251865899999995e-05	1.2357870800000037e-05
TNF	0	4	0	0	1	5.128302292	0.0	0.0	22.09378027	0.011459612	0.746996178	0.038680698	0.043357031	0.813667722	0.942412671	0.977167932	1.0	0.012394798	1.0	3.762659e-07	7.806116700000013e-06	3.3842157000000016e-06
TP53AIP1	0	2	1	0	0	11.51937161	81.176792	81.176792	0.0	0.014	0.009146767	0.00170325	1.0	0.813667722	0.942412671	0.593424942	1.0	0.012561839	1.0	6.932806000000008e-07	1.47527302e-05	7.298400700000032e-06
