gene	sperm_syn	sperm_mis	sperm_stopgain	is_cRDHGs	is_DD	is_ASD	is_OG	non_nsite	mis_nsite	ssite
UGT2B7	0	3	0	False	False	False	True	7.663386999999996e-07	1.3318151199999995e-05	5.160866999999996e-06
CAAP1	0	1	0	False	False	False	True	3.979151999999999e-07	9.369640200000015e-06	3.7656010999999993e-06
SLC39A12	0	2	0	False	False	False	True	7.570473000000002e-07	1.6734614599999995e-05	6.8860711999999955e-06
MRPL2	0	2	0	False	False	False	True	6.676943000000003e-07	1.051426939999998e-05	3.403342100000001e-06
ENDOD1	0	1	0	False	False	False	True	6.730540999999997e-07	1.358165049999999e-05	5.1159693e-06
TSGA10IP	1	1	0	False	False	False	True	1.1425467000000003e-06	1.7865160100000005e-05	7.629038400000001e-06
TJP1	2	9	0	False	False	False	True	2.15973e-08	5.625787000000002e-07	3.665786e-07
FAM98C	1	0	0	False	False	False	True	5.639589999999997e-07	1.156557400000002e-05	4.906976000000001e-06
OR5AC2	0	0	0	False	False	False	True	4.7000949999999984e-07	8.38769799999999e-06	3.4845753e-06
ADAR	1	2	0	False	False	False	True	2.0262579999999975e-06	3.874791100000012e-05	1.6103201599999984e-05
AKIP1	0	0	0	False	False	False	True	1.8518249999999996e-07	5.391003799999996e-06	2.2437370000000006e-06
COX7A2	0	0	1	False	False	False	True	7.08192e-08	2.3471932000000005e-06	8.386481000000005e-07
FOLR2	0	0	0	False	False	False	True	4.554758000000001e-07	7.5941393999999945e-06	2.5838131999999997e-06
GCHFR	0	0	0	False	False	False	True	9.10826e-08	3.0755672000000007e-06	1.2540040999999998e-06
NAB1	0	0	0	False	False	False	True	7.983288000000001e-07	1.207832440000001e-05	5.1838584e-06
RNASE8	0	0	0	False	False	False	True	1.6646989999999996e-07	3.7868621999999972e-06	1.6474460000000003e-06
FOXA3	1	1	0	False	False	False	True	2.949983999999999e-07	1.1610157699999986e-05	5.759561799999996e-06
OR5B17	0	1	0	False	False	False	True	3.3969220000000035e-07	8.16139070000001e-06	2.8888264999999972e-06
UTP20	1	3	0	False	False	False	True	3.6537734999999963e-06	7.115290139999989e-05	2.8603391599999956e-05
RRM1	0	0	0	False	False	False	True	1.568417999999998e-06	2.2004436599999953e-05	7.5773808e-06
GYS2	1	2	0	False	False	False	True	1.5953533000000009e-06	1.9576701400000038e-05	7.879865399999993e-06
STYX	0	0	0	False	False	False	True	6.251616000000002e-07	5.230850900000001e-06	1.7035175999999991e-06
ESRP1	0	0	0	False	False	False	True	1.4895380999999996e-06	1.8494457500000008e-05	7.470821899999999e-06
NDUFAF1	0	0	0	False	False	False	True	4.663008999999999e-07	9.22207720000002e-06	3.252583600000002e-06
SMYD3	0	0	1	False	False	False	True	9.077809999999999e-07	1.2697394e-05	5.104232699999998e-06
ARID4B	0	2	0	False	False	False	True	2.1156991999999996e-06	3.115540509999997e-05	1.1153803599999998e-05
MAP3K4	3	5	0	False	False	False	True	3.112761799999997e-06	4.642828290000003e-05	1.7852837300000002e-05
NTN1	0	0	0	False	False	False	True	7.964954000000004e-07	1.9627226099999983e-05	8.969450799999995e-06
CLRN3	1	1	0	False	False	False	True	2.450992e-07	6.813868700000009e-06	3.7227556e-06
GK5	0	1	0	False	False	False	True	1.0112381000000005e-06	1.2525857599999975e-05	4.3995287000000046e-06
KLHL30	2	0	0	False	False	False	True	9.651365000000001e-07	2.4475555100000036e-05	1.3293137300000014e-05
IP6K1	0	0	0	False	False	False	True	6.299939e-07	1.7954344799999995e-05	6.2620529000000055e-06
CTTNBP2NL	1	1	1	False	False	False	True	8.852129999999998e-07	1.7373595600000036e-05	6.427105600000009e-06
SCAI	0	0	0	False	False	False	True	1.7045018e-06	1.64502443e-05	6.026262299999992e-06
TAS2R4	0	1	0	False	False	False	True	2.167731999999999e-07	7.540645399999989e-06	3.055566899999996e-06
OR2V2	1	0	0	False	False	False	True	1.7892070000000004e-07	8.277476599999999e-06	3.382557799999998e-06
TIMM23	0	0	0	False	False	False	True	3.862716999999999e-07	2.3340512999999985e-06	9.851047000000002e-07
NKAIN4	0	0	0	False	False	False	True	2.370687e-07	7.204894000000008e-06	3.471386600000004e-06
ARHGAP9	0	0	0	False	False	False	True	1.0536908999999998e-06	2.228317459999999e-05	9.033629999999996e-06
EPHA8	2	3	0	False	False	False	True	1.4762268e-06	4.6392040300000125e-05	2.102536859999999e-05
DMKN	0	0	0	False	False	False	True	6.631156000000002e-07	1.3298274700000011e-05	6.459752499999998e-06
PPP1R12A	0	0	0	False	False	False	True	2.2278922e-06	2.6026440599999944e-05	8.927094399999998e-06
SEMA7A	0	0	0	False	False	False	True	8.993313000000007e-07	2.3677568599999967e-05	1.105753949999999e-05
TLN1	2	5	0	False	False	False	True	4.1469408000000015e-06	7.969811780000025e-05	3.173079479999991e-05
GP1BB	0	0	0	False	False	False	True	1.822786e-07	6.510168099999992e-06	3.664884099999998e-06
CASP4	1	1	0	False	False	False	True	4.893416999999999e-07	1.09956607e-05	3.829789500000003e-06
RANBP10	1	2	0	False	False	False	True	1.0658662999999998e-06	2.009747259999999e-05	9.051946600000015e-06
MRPS35	0	0	0	False	False	False	True	6.376212000000003e-07	8.296274500000006e-06	3.6423352000000026e-06
KCTD1	0	2	0	False	False	False	True	1.0987251999999986e-06	2.6651218599999887e-05	1.2221611100000012e-05
FAM83B	1	0	0	False	False	False	True	2.245749799999998e-06	2.780099919999994e-05	9.950808299999988e-06
COMTD1	0	0	0	False	False	False	True	3.7596909999999996e-07	7.9209977e-06	4.239435100000003e-06
DBP	0	1	0	False	False	False	True	3.7252600000000006e-07	1.0243073200000003e-05	5.074685099999999e-06
MTRR	0	2	0	False	False	False	True	1.1949952999999997e-06	1.957024890000002e-05	8.345841800000016e-06
PPP1R14D	0	0	0	False	False	False	True	1.473377e-07	4.417883199999999e-06	1.245382999999999e-06
CH25H	0	1	0	False	False	False	True	3.576883999999999e-07	9.120211699999982e-06	5.140927500000007e-06
LPAR2	0	1	0	False	False	False	True	6.348780999999999e-07	1.4652818200000012e-05	5.6761666e-06
GTF3C3	0	2	0	False	False	False	True	1.6689367999999997e-06	2.4096773599999978e-05	8.036352100000012e-06
SCG5	0	0	0	False	False	False	True			
FSIP2	5	7	2	False	False	False	True	9.127874500000006e-06	0.00016164354999999907	5.8907389899999965e-05
MCM4	0	0	0	False	False	False	True	1.1348182000000003e-06	2.6901309399999943e-05	1.0360025699999989e-05
KLF1	0	1	0	False	False	False	True	4.786212999999999e-07	1.0990684100000008e-05	5.7597613999999975e-06
ITSN1	0	2	0	False	False	False	True	3.4643993999999985e-06	4.870926659999999e-05	2.0723726099999955e-05
KCNS2	1	0	0	False	False	False	True	4.408881000000001e-07	1.3089055300000003e-05	5.506564799999994e-06
RRP15	0	0	0	False	False	False	True	2.618368999999999e-07	7.113167800000005e-06	2.4226978000000006e-06
KAT2B	0	2	0	False	False	False	True	1.8078096000000006e-06	2.312355100000001e-05	9.152181300000013e-06
TACC3	0	0	0	False	False	False	True	7.438215999999992e-07	2.7152293100000024e-05	1.4352346199999987e-05
ZNRD2	0	0	0	False	False	False	True	2.430353e-07	5.4255722000000035e-06	2.318672999999997e-06
ATXN7L3B	0	1	0	False	False	False	True	1.0300409999999999e-07	2.541027199999999e-06	1.048058e-06
TRIM63	0	0	0	False	False	False	True	4.7379020000000005e-07	1.0445082199999998e-05	4.477337300000002e-06
PTMA	0	0	0	False	False	False	True	8.187239999999996e-08	2.8393928999999983e-06	1.4564277000000005e-06
CAPN7	0	0	0	False	False	False	True	1.6650492000000001e-06	2.0168777600000033e-05	7.553527400000006e-06
AKR1C8	0	0	0	False	False	False	True	5.574914e-07	8.570880200000005e-06	3.476652e-06
SERGEF	1	2	0	False	False	False	True	9.007626000000005e-07	1.1486689100000001e-05	5.179593e-06
CNTROB	1	4	0	False	False	False	True	1.6129067000000008e-06	2.9855373999999967e-05	1.0885139799999984e-05
FBXL15	1	0	0	False	False	False	True	2.995690999999999e-07	8.753260299999993e-06	4.557367600000002e-06
C3orf62	0	0	0	False	False	False	True	3.7556970000000015e-07	6.110670200000004e-06	2.3779207e-06
FAM240A	0	0	0	False	False	False	True	1.9215959999999992e-07	3.332920700000003e-06	7.855107e-07
RABL2A	0	0	0	False	False	False	True	4.6483599999999986e-08	1.3793656999999995e-06	9.284546000000007e-07
TJAP1	2	2	0	False	False	False	True	6.949086e-07	1.953676800000003e-05	6.671433499999998e-06
TYR	0	0	0	False	False	False	True	9.173546000000001e-07	1.3529285700000005e-05	5.303250200000005e-06
GAL3ST3	0	0	0	False	False	False	True	4.623699000000001e-07	1.3570012800000015e-05	6.2655466e-06
CHPT1	0	0	0	False	False	False	True	4.892568999999998e-07	1.0166557300000006e-05	4.378751599999993e-06
NOTUM	1	1	0	False	False	False	True	1.0653701000000008e-06	1.883965480000004e-05	9.847322799999991e-06
SLC52A3	0	2	0	False	False	False	True	3.845566999999999e-07	1.6138754000000016e-05	8.887665400000005e-06
NOLC1	0	1	0	False	False	False	True	1.164684999999999e-06	1.7287335099999977e-05	6.613960500000012e-06
PLIN2	0	1	0	False	False	False	True	4.917176999999998e-07	1.139668550000002e-05	4.5926902000000035e-06
OR5AC1	0	0	0	False	False	False	True			
AARS2	1	2	1	False	False	False	True	1.6400355999999993e-06	3.356051069999994e-05	1.2901779099999983e-05
RABGGTA	0	2	0	False	False	False	True	1.2654791000000008e-06	1.8192037300000024e-05	6.963889300000005e-06
SLA2	1	0	0	False	False	False	True	2.2172760000000004e-07	7.816557500000003e-06	3.723352999999998e-06
HRH3	0	2	0	False	False	False	True	5.85416e-07	1.6235107999999995e-05	8.025702399999997e-06
KRTAP7-1	0	0	0	False	False	False	True	7.41364e-08	2.2588322999999993e-06	9.703440999999993e-07
CRB1	0	1	0	False	False	False	True	1.833819600000002e-06	3.642530149999985e-05	1.54078023e-05
BST1	0	0	0	False	False	False	True	6.696174999999999e-07	8.944605000000001e-06	4.0041761999999955e-06
APLNR	1	3	0	False	False	False	True	3.2498290000000013e-07	1.4015931300000002e-05	6.358731699999998e-06
ZNF773	1	2	0	False	False	False	True	6.000168000000002e-07	1.076745760000002e-05	3.8681567000000006e-06
LRRC51	0	0	0	False	False	False	True	2.7828980000000005e-07	5.961733999999994e-06	2.308478e-06
KLHDC8B	0	0	0	False	False	False	True	2.535151000000001e-07	1.4265439700000007e-05	4.327962500000003e-06
ENSG00000249240	0	0	0	False	False	False	True	1.0392188000000002e-06	7.8515748e-06	2.946585500000002e-06
ERMAP	2	0	0	False	False	False	True	5.753433000000004e-07	1.4232511599999962e-05	5.750028599999995e-06
POMT2	0	2	0	False	False	False	True	1.144951399999999e-06	2.2598239699999994e-05	9.599301500000006e-06
DRICH1	0	0	0	False	False	False	True	4.2975499999999976e-07	6.3356064000000105e-06	2.639968900000002e-06
ABCG8	2	4	0	False	False	False	True	9.273404999999996e-07	2.2942356999999988e-05	1.1489783499999988e-05
DSPP	0	2	0	False	False	False	True	6.566304999999999e-07	3.432730229999994e-05	1.3937667099999983e-05
ENSG00000290316	0	0	0	False	False	False	True			
ENSG00000286143	0	0	0	False	False	False	True			
RGMB	0	0	1	False	False	False	True	5.006914999999999e-07	1.4172104599999992e-05	6.097107499999999e-06
IQCM	0	1	0	False	False	False	True	1.4819933000000002e-06	1.400942780000001e-05	4.160671300000003e-06
GSG1L2	0	0	0	False	False	False	True	4.196909e-07	9.395145699999999e-06	4.3451725000000035e-06
NOL11	0	1	0	False	False	False	True	1.1244311999999997e-06	1.7817098500000012e-05	6.894844400000009e-06
CREBL2	0	0	0	False	False	False	True	3.8379470000000013e-07	3.2526060999999933e-06	9.398682999999992e-07
BTBD10	1	1	0	False	False	False	True	1.4337375000000004e-06	1.4074758799999999e-05	4.1516097999999925e-06
PYGB	2	0	0	False	False	False	True	8.830728000000003e-07	3.26988318e-05	1.667214440000001e-05
CYP4B1	0	1	0	False	False	False	True	4.536862999999999e-07	1.7086270500000005e-05	5.658243799999993e-06
RDH14	0	2	0	False	False	False	True	2.6084750000000005e-07	9.822037899999999e-06	4.066283099999997e-06
MYL3	0	0	0	False	False	False	True	1.150517e-07	6.228741500000007e-06	2.535317900000001e-06
ERLIN2	0	0	0	False	False	False	True	2.6288739999999993e-07	9.22148090000001e-06	4.153881800000004e-06
MZB1	1	0	0	False	False	False	True	3.7670549999999997e-07	6.069501899999995e-06	2.3676360999999992e-06
ZNF595	0	3	0	False	False	False	True	8.836280999999995e-07	1.6097490400000005e-05	5.816506199999998e-06
SYVN1	0	1	0	False	False	False	True	7.049004000000001e-07	2.0114689400000012e-05	7.352907300000003e-06
PLEC	12	18	0	False	False	False	True	7.143581700000002e-06	0.0001771833594	8.575774979999993e-05
ENSG00000283536	0	0	0	False	False	False	True	2.0980850000000004e-07	5.4334613e-06	1.777956e-06
MYG1	0	1	0	False	False	False	True	9.564173000000004e-07	1.1752589100000003e-05	4.7139078999999985e-06
S1PR3	0	1	0	False	False	False	True	2.991554999999999e-07	1.1932612299999979e-05	5.496863900000001e-06
LPGAT1	0	0	0	False	False	False	True	7.44264e-07	8.68865469999999e-06	2.7583728000000044e-06
TDO2	0	0	0	False	False	False	True			
ENOSF1	1	1	0	False	False	False	True	6.924165999999999e-07	1.2213680299999978e-05	5.719493399999996e-06
ARHGEF17	1	6	0	False	False	False	True	3.1022782000000017e-06	7.200515610000025e-05	3.1149393300000006e-05
NOL8	1	3	0	False	False	False	True	1.7865019999999998e-06	3.1385134499999976e-05	1.1560094699999998e-05
APOBR	1	3	0	False	False	False	True	1.1619286000000002e-06	3.438184100000002e-05	1.62747781e-05
DDX56	0	0	0	False	False	False	True	6.489854000000001e-07	1.729530920000005e-05	6.082974000000004e-06
SIAH3	0	1	0	False	False	False	True	2.2019750000000006e-07	1.0407996300000003e-05	4.906969799999997e-06
INTS3	1	5	0	False	False	False	True			
PIWIL4	0	0	0	False	False	False	True	1.1486802e-06	2.3921321099999983e-05	9.177502199999971e-06
TAF3	0	2	0	False	False	False	True	1.6917113999999999e-06	2.6545547799999973e-05	1.1970394499999996e-05
ITFG2	1	2	0	False	False	False	True	6.653636999999995e-07	1.3944077100000016e-05	6.3838814e-06
DZIP1L	0	3	0	False	False	False	True	1.0499018e-06	2.577755319999993e-05	9.080704899999998e-06
PDE6B	1	4	0	False	False	False	True	1.1035790999999997e-06	3.2227557100000085e-05	1.687250980000003e-05
TOMM5	0	0	0	False	False	False	True	4.207900000000001e-08	1.5325603e-06	5.436415e-07
R3HDM4	0	0	0	False	False	False	True	2.839539e-07	1.0245011099999993e-05	4.275364100000006e-06
OR5AR1	0	0	0	False	False	False	True	2.8224209999999996e-07	8.309131300000004e-06	2.9821044000000026e-06
ENSG00000285130	1	1	0	False	False	False	True	2.3077363999999973e-06	4.090352389999989e-05	1.715779340000002e-05
TCEANC2	0	0	0	False	False	False	True	3.3096769999999997e-07	6.0641908000000025e-06	2.3897062999999968e-06
KANK1	1	5	0	False	False	False	True	1.6483285999999995e-06	4.243584890000004e-05	1.8925361599999976e-05
AUNIP	0	2	0	False	False	False	True	5.272143e-07	8.1816197e-06	3.2259601e-06
RRS1	0	0	0	False	False	False	True	4.519057999999997e-07	1.0413804699999987e-05	4.639278700000007e-06
PRSS53	0	2	0	False	False	False	True	7.565460999999999e-07	1.8052517299999988e-05	8.277891199999991e-06
RPS6KB1	0	2	0	False	False	False	True	1.0601180999999998e-06	1.3845840900000018e-05	4.6899004999999995e-06
AZU1	1	1	0	False	False	False	True			
RIMS1	1	4	0	False	False	False	True	4.358171499999998e-06	4.9816740400000084e-05	1.8817083600000033e-05
WBP4	0	0	0	False	False	False	True	6.256366999999998e-07	7.950605899999998e-06	3.0304168e-06
ADAMTSL4	3	2	0	False	False	False	True	2.0900761999999993e-06	4.108418139999993e-05	1.571058770000002e-05
CACNG8	0	0	0	False	False	False	True	2.9157939999999996e-07	1.2762689899999995e-05	6.35691459999999e-06
CASP1	0	3	0	False	False	False	True	5.373245999999997e-07	1.1853408899999995e-05	4.1134960999999995e-06
MAU2	0	1	0	False	False	False	True	1.0023799999999998e-06	2.0697808600000036e-05	1.0738599199999998e-05
SLC5A1	1	2	0	False	False	False	True	8.783443999999997e-07	2.1539704500000063e-05	9.857715500000005e-06
SLC34A3	2	0	0	False	False	False	True	4.611688999999999e-07	2.4722336499999985e-05	1.4135522600000009e-05
MGST2	0	1	0	False	False	False	True	2.830148e-07	4.232360699999998e-06	1.4961855e-06
MIER3	0	1	0	False	False	False	True	6.841002000000001e-07	1.4461692700000019e-05	5.592114700000007e-06
RPL13	0	0	0	False	False	False	True	1.7512160000000006e-07	7.000556800000005e-06	2.944908000000002e-06
ALPL	3	1	0	False	False	False	True	6.533999e-07	1.922959829999999e-05	1.0006930499999997e-05
TRAFD1	1	2	0	False	False	False	True	9.598198999999999e-07	1.5503430300000012e-05	5.687038500000002e-06
CACNG4	0	1	0	False	False	False	True	4.2738289999999994e-07	1.0815896799999979e-05	5.065416600000007e-06
RIPK2	0	0	0	False	False	False	True	1.0318857000000002e-06	1.3222454600000015e-05	4.569722800000002e-06
MYRFL	0	0	1	False	False	False	True	1.7814101000000013e-06	2.5016105499999977e-05	1.0648425499999996e-05
CAPN11	0	0	1	False	False	False	True	9.385894000000008e-07	2.128148670000002e-05	9.068053199999997e-06
EPB41L1	0	2	0	False	False	False	True	9.252481e-07	3.231743350000003e-05	1.4104499099999955e-05
REEP3	0	0	0	False	False	False	True	6.393002000000002e-07	6.7799085999999805e-06	2.3720468999999998e-06
CCDC92B	0	0	0	False	False	False	True	3.715496999999999e-07	7.960168300000011e-06	3.785882799999999e-06
CPT1B	0	1	0	False	False	False	True	9.583471999999997e-07	2.6065507700000004e-05	1.0546828599999998e-05
ZNF639	0	1	0	False	False	False	True	5.520336999999999e-07	1.1264900700000013e-05	3.8800078000000005e-06
PPM1L	0	1	0	False	False	False	True	6.572125000000004e-07	9.864171700000015e-06	4.2075618000000005e-06
UGT3A1	0	3	1	False	False	False	True	7.254743e-07	1.412561199999998e-05	5.260263700000002e-06
ENSG00000254692	0	2	0	False	False	False	True	1.1457467999999998e-06	2.457206090000004e-05	9.242519199999978e-06
CTR9	0	2	1	False	False	False	True	2.0934569000000024e-06	3.3744417100000115e-05	1.1942099300000026e-05
LINGO2	1	2	0	False	False	False	True	7.723464e-07	1.8198498399999952e-05	6.569257300000005e-06
GTF2IRD1	0	1	0	False	False	False	True	1.2859844999999997e-06	3.511559629999998e-05	1.7552360799999968e-05
OR51B2	2	3	0	False	False	False	True	2.0260180000000007e-07	8.15151009999999e-06	2.8500482999999993e-06
ARPC3	0	0	0	False	False	False	True	1.76588e-07	4.010202299999996e-06	1.6444931999999985e-06
SLC33A1	1	1	0	False	False	False	True	6.531816999999998e-07	1.338257549999999e-05	5.590942099999996e-06
CYP2C18	0	0	0	False	False	False	True	4.943886999999996e-07	1.3588694900000009e-05	4.730308399999998e-06
FOXO3B	0	0	0	False	False	False	True	1.634197e-07	5.497203200000008e-06	2.6260218000000007e-06
APIP	1	0	0	False	False	False	True	4.1398470000000006e-07	6.7819997000000015e-06	2.4225527999999998e-06
KCNG2	0	0	0	False	False	False	True	4.516644000000001e-07	1.4440762399999996e-05	7.564472300000005e-06
STIM1	0	0	0	False	False	False	True	1.1433374999999998e-06	2.4355009900000023e-05	8.787151199999999e-06
CYP2U1	0	1	0	False	False	False	True	9.103491999999997e-07	1.480619859999999e-05	6.395175700000003e-06
CHST8	0	1	0	False	False	False	True	4.964673999999998e-07	1.3551730599999991e-05	5.94168859999999e-06
DUS4L-BCAP29	0	1	0	False	False	False	True	7.165761e-07	1.4252738300000026e-05	5.159044100000008e-06
ENSG00000288000	0	0	0	False	False	False	True			
MLLT1	0	2	0	False	False	False	True	4.2518789999999986e-07	2.1774366600000043e-05	1.1263564500000005e-05
TRIM54	1	0	0	False	False	False	True	4.267005e-07	1.1770896199999995e-05	5.3878819e-06
STK11	6	7	0	False	False	False	True	4.602582000000003e-07	1.801765100000002e-05	9.557957300000003e-06
SRFBP1	0	1	0	False	False	False	True	9.503820000000002e-07	1.0596471700000028e-05	3.922022599999998e-06
KCNIP4	1	1	0	False	False	False	True	2.5268030000000004e-07	7.571734800000001e-06	2.870073400000001e-06
CYREN	0	0	0	False	False	False	True	1.3795160000000002e-07	4.904331100000007e-06	2.2433357e-06
EEF1AKMT2	0	1	0	False	False	False	True	5.918909000000001e-07	6.763713000000009e-06	2.8298389999999996e-06
GARS1	0	1	0	False	False	False	True	1.2943232e-06	2.1093706599999946e-05	8.179583199999995e-06
HOXC11	1	1	0	False	False	False	True	3.401427999999999e-07	8.677896600000004e-06	3.850059699999995e-06
TPSB2	0	0	0	False	False	False	True	1.5702300000000002e-07	1.5252985999999996e-06	8.255266999999998e-07
SLC35G2	1	3	0	False	False	False	True	7.595551999999999e-07	1.0906372399999998e-05	3.4754866000000014e-06
ENSG00000288608	0	0	0	False	False	False	True	8.168999999999999e-09	8.342307000000002e-07	2.55678e-07
UBXN2B	1	0	0	False	False	False	True	4.0972789999999996e-07	8.791356499999994e-06	2.9162017000000025e-06
CTDP1	0	2	0	False	False	False	True	2.2401310000000003e-07	6.298740000000001e-06	3.5323316000000024e-06
CCDC124	0	0	0	False	False	False	True	2.3267089999999996e-07	8.142955200000012e-06	3.5598101e-06
SPATA6L	0	1	0	False	False	False	True	4.6449479999999994e-07	9.679986599999992e-06	4.0142644999999985e-06
SLC39A8	0	2	0	False	False	False	True	4.483920999999998e-07	1.1817185799999991e-05	5.360834799999997e-06
GLIPR2	0	0	0	False	False	False	True	1.6589079999999998e-07	5.127149400000007e-06	2.5740089999999965e-06
MUC5AC	1	0	0	False	False	False	True	1.7761178999999985e-06	6.195523830000017e-05	3.510468690000004e-05
HHAT	0	1	0	False	False	False	True	1.0427832999999998e-06	1.4655086600000001e-05	7.0996884000000045e-06
C1QL4	0	1	0	False	False	False	True	1.764754e-07	7.302923400000004e-06	3.3379443999999974e-06
MIPOL1	0	0	0	False	False	False	True	8.725336e-07	1.0937758199999999e-05	3.7663505000000047e-06
GSKIP	0	0	0	False	False	False	True	2.142436e-07	3.675614899999997e-06	1.6691333e-06
LGALS7	0	0	0	False	False	False	True			
SEMA4F	0	0	0	False	False	False	True	1.4891830000000005e-06	2.8131954800000008e-05	1.1097225900000007e-05
RCAN2	0	0	0	False	False	False	True	3.385974999999999e-07	7.83741890000001e-06	3.223817399999997e-06
BRAF	1	24	0	False	True	False	False	2.1468359999999997e-06	2.0987136700000028e-05	7.992503800000006e-06
ENSG00000261459	0	1	0	False	False	False	True	3.74214e-07	1.123334309999999e-05	4.8036509999999945e-06
